train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/policy_loss,time/iterations,rollout/ep_rew_mean,train/std,time/fps
4799,0.0007,0,-16.19252586,24,437,24000,17571.99609,-1944.803955,4800,-564.04487,1.055721045,54
4899,0.0007,0,-16.14990234,24,446,24500,11641.82813,-1597.654663,4900,-567.94064,1.051631093,54
4999,0.0007,0,-16.12790871,24,456,25000,5765.84082,-988.3069458,5000,-573.98729,1.049977899,54
5099,0.0007,0.149345696,-16.18451118,24,465,25500,454.8240662,-190.6147766,5100,-584.54899,1.054882169,54
5199,0.0007,-1.076269627,-16.1453228,24,475,26000,5929.749512,1029.983643,5200,-590.54277,1.051124454,54
5299,0.0007,4.41E-06,-16.12776947,24,485,26500,23630.125,-2007.007202,5300,-592.25314,1.050129056,54
5399,0.0007,5.96E-08,-16.12583351,24,494,27000,17495.80273,-1878.996094,5400,-591.22259,1.049480677,54
5499,0.0007,0,-16.13345909,24,504,27500,10907.10156,-1441.290283,5500,-587.49326,1.050354481,54
5599,0.0007,0,-16.12698746,24,513,28000,5159.771973,-1091.714478,5600,-582.70822,1.049730778,54
5699,0.0007,0.325986445,-16.12047195,24,523,28500,348.568512,-145.6744843,5700,-577.83649,1.049059987,54
5799,0.0007,-1.114628792,-16.13173485,24,532,29000,8226.550781,907.9140625,5800,-568.17453,1.050035596,54
5899,0.0007,1.33E-05,-16.14118958,24,542,29500,20501.18359,-2017.392944,5900,-556.9655,1.05118072,54
5999,0.0007,1.87E-05,-16.10249329,24,551,30000,15436.26855,-1989.958252,6000,-548.74194,1.04706943,54
6099,0.0007,4.17E-07,-16.15512466,24,561,30500,10327.34668,-1563.273926,6100,-547.1849,1.052242756,54
6199,0.0007,-3.58E-07,-16.14564323,24,571,31000,5093.551758,-1106.499268,6200,-550.12126,1.051560998,54
6299,0.0007,0.709378421,-16.15994835,24,580,31500,315.7330017,-207.9208069,6300,-554.70105,1.05341661,54
6399,0.0007,-1.375858307,-16.16737938,24,590,32000,11013.80273,859.0471802,6400,-558.32578,1.053885341,54
6499,0.0007,3.42E-05,-16.16966248,24,599,32500,18679.13477,-2075.243652,6500,-554.65561,1.053884983,54
6599,0.0007,0,-16.15940475,24,609,33000,13873.6582,-1780.037109,6600,-540.67563,1.052894592,54
6699,0.0007,2.98E-07,-16.15630722,24,618,33500,8482.852539,-1398.047119,6700,-524.63472,1.052726865,54
6799,0.0007,0,-16.12948418,24,628,34000,4014.477295,-943.6217651,6800,-514.14284,1.05011344,54
6899,0.0007,0.862821385,-16.1345787,24,638,34500,397.1053772,-307.6444397,6900,-502.89417,1.050609827,54
6999,0.0007,-0.832583427,-16.13399506,24,647,35000,13484.66406,1173.401978,7000,-497.56596,1.050623178,54
7099,0.0007,0,-16.15209389,24,656,35500,12900.9248,-1764.135132,7100,-488.04234,1.052284718,54
7199,0.0007,7.59E-05,-16.14925003,24,666,36000,6722.833496,-1188.270264,7200,-469.79657,1.05254972,54
7299,0.0007,0,-16.18287659,24,675,36500,5202.473633,-1269.940063,7300,-443.63563,1.054962635,54
7399,0.0007,-3.14E-05,-16.20363617,24,685,37000,2061.899414,-621.708313,7400,-423.91539,1.057775021,53
7499,0.0007,0.875743277,-16.24621964,24,694,37500,64.48415375,33.19326019,7500,-403.03628,1.061743617,53
7599,0.0007,-0.959894538,-16.25263596,24,704,38000,19080.80469,1619.865479,7600,-387.33538,1.062137961,53
7699,0.0007,0.000126362,-16.30018997,24,713,38500,11009.94043,-1455.151611,7700,-376.6568,1.067089558,53
7799,0.0007,1.79E-07,-16.28531075,24,723,39000,6772.811035,-1385.700928,7800,-365.14444,1.064935207,53
7899,0.0007,-2.12E-05,-16.33343124,24,732,39500,2507.653809,-748.3672485,7900,-346.97114,1.069757938,53
7999,0.0007,-2.88E-05,-16.3871479,24,742,40000,311.6152649,-289.2416077,8000,-323.18757,1.075008869,53
8099,0.0007,0.924498856,-16.42282677,24,752,40500,48.81323624,50.02677536,8100,-301.11432,1.078878999,53
8199,0.0007,-1.00794363,-16.47477531,24,761,41000,21082.03516,1490.907471,8200,-297.98738,1.08355093,53
8299,0.0007,0.0002653,-16.50090218,24,770,41500,5104.436523,-1305.036377,8300,-286.54248,1.085622191,53
8399,0.0007,0,-16.50066566,24,780,42000,6362.502441,-1215.97583,8400,-279.69991,1.086170673,53
8499,0.0007,-7.99E-06,-16.49938202,24,789,42500,7665.73584,-1292.65271,8500,-303.93151,1.086546779,53
8599,0.0007,3.28E-06,-16.50217056,24,799,43000,2290.923584,-754.0320435,8600,-335.73216,1.086524606,53
8699,0.0007,0.857490376,-16.5048542,24,808,43500,90.97104645,-76.98628998,8700,-354.82433,1.086932659,53
8799,0.0007,-1.124726057,-16.48067474,24,818,44000,25379.95703,1479.925781,8800,-383.11236,1.084477901,53
8899,0.0007,1.61E-06,-16.51407051,24,828,44500,12642.10156,-1800.019165,8900,-407.2484,1.087587237,53
8999,0.0007,0,-16.52812386,24,837,45000,6163.385742,-1478.541504,9000,-394.50405,1.088460445,53
9099,0.0007,0,-16.53265381,24,847,45500,2179.443848,-773.6564331,9100,-369.95444,1.08941555,53
9199,0.0007,0,-16.54086685,24,856,46000,165.8322906,-201.9082947,9200,-327.40998,1.090583801,53
9299,0.0007,0.943474073,-16.56422997,24,866,46500,35.66504669,41.62210846,9300,-289.35326,1.093079448,53
9399,0.0007,-0.823783636,-16.56725311,24,876,47000,31565.98828,1745.533936,9400,-252.86437,1.093652606,53
9499,0.0007,0.00015682,-16.60108948,24,886,47500,7281.603027,-1401.306641,9500,-239.91917,1.096725583,53
9599,0.0007,0,-16.62253761,24,895,48000,6769.582031,-1301.109131,9600,-249.66788,1.099175096,53
9699,0.0007,0,-16.64535141,24,905,48500,5060.602051,-1046.614502,9700,-291.2174,1.102016449,53
9799,0.0007,0,-16.66124725,24,914,49000,1281.120239,-512.5681152,9800,-321.56361,1.103473186,53
9899,0.0007,0.798021466,-16.68445587,24,923,49500,155.9547119,-97.96617126,9900,-339.35254,1.106003046,53
9999,0.0007,-0.899556756,-16.69975281,24,933,50000,35521.38672,1970.431885,10000,-348.74862,1.107503414,53
10099,0.0007,0,-16.72010803,24,943,50500,9939.393555,-1482.5448,10100,-344.27717,1.109541774,53
