time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/policy_objective,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/std,train/n_updates,train/value_loss,train/explained_variance
55,36,-542.4396705882353,1,24.0,2048,,,,,,,,
54,74,-539.5917,2,24.0,4096,0.03549628704786301,1.0,0.001,0.007450927514582872,1.0012849569320679,1,77628.17880859374,-0.00025784969329833984
54,112,-528.77628,3,24.0,6144,0.047040048986673355,1.0,0.001,0.008701500482857227,0.9878450632095337,2,74213.14987792968,0.0
54,150,-523.6878200000001,4,24.0,8192,0.04247210547327995,1.0,0.001,0.007806398440152407,0.9771572351455688,3,68886.10915527344,-1.1920928955078125e-07
54,188,-508.87841999999995,5,24.0,10240,0.040250152349472046,1.0,0.001,0.008460937067866325,0.9887346625328064,4,65114.273608398435,-1.1920928955078125e-07
54,225,-505.3026800000001,6,24.0,12288,0.04023642838001251,1.0,0.001,0.007936205714941025,1.0083402395248413,5,58809.45751953125,1.1920928955078125e-07
54,264,-493.36588000000006,7,24.0,14336,0.043827518820762634,1.0,0.001,0.007125958800315857,1.0170947313308716,6,56609.18408203125,1.1920928955078125e-07
54,301,-491.9731800000001,8,24.0,16384,0.046261586248874664,1.0,0.001,0.006965041160583496,0.9954774975776672,7,51362.38630371094,0.0
54,339,-484.67911,9,24.0,18432,0.025074956938624382,1.0,0.001,0.007543992716819048,1.0055921077728271,8,48961.97653808594,1.1920928955078125e-07
54,377,-473.74777,10,24.0,20480,0.04757986217737198,1.0,0.001,0.005975597072392702,1.0220723152160645,9,45809.38093261719,0.0
54,414,-464.5971899999999,11,24.0,22528,0.05326368659734726,1.0,0.001,0.007734639570116997,1.0241461992263794,10,41919.12497558594,1.1920928955078125e-07
54,451,-460.82588,12,24.0,24576,0.03631747514009476,1.0,0.001,0.00610744021832943,1.0105385780334473,11,38766.99426269531,1.1920928955078125e-07
54,488,-459.71564999999987,13,24.0,26624,0.041530873626470566,1.0,0.001,0.007300633005797863,1.0332647562026978,12,36599.5667602539,2.384185791015625e-07
54,526,-453.48308000000003,14,24.0,28672,0.030511541292071342,1.0,0.001,0.006884121801704168,1.026768445968628,13,34910.234362792966,1.1920928955078125e-07
54,563,-439.73109,15,24.0,30720,0.07159531861543655,1.0,0.001,0.0076638516038656235,1.0563311576843262,14,32292.912255859374,5.364418029785156e-07
54,601,-419.13946,16,24.0,32768,0.051296357065439224,1.0,0.001,0.007168736774474382,1.0634642839431763,15,28886.730139160158,2.384185791015625e-07
54,637,-403.95261,17,24.0,34816,0.05179838091135025,1.0,0.001,0.007578891236335039,1.0870835781097412,16,24987.00860595703,8.344650268554688e-07
54,674,-387.13321999999994,18,24.0,36864,0.05817035958170891,1.0,0.001,0.008377697318792343,1.089255452156067,17,22320.10759277344,2.4437904357910156e-06
54,712,-356.51797999999985,19,24.0,38912,0.05457719415426254,1.0,0.001,0.007626619655638933,1.0754317045211792,18,19255.533288574217,7.033348083496094e-06
54,749,-336.58732,20,24.0,40960,0.05029790475964546,1.0,0.001,0.007267007604241371,1.0867886543273926,19,15574.310723876953,1.3113021850585938e-05
54,786,-323.46233,21,24.0,43008,0.04213324934244156,1.0,0.001,0.00688962684944272,1.0678857564926147,20,13459.433770751953,1.233816146850586e-05
54,824,-294.8165200000001,22,24.0,45056,0.05226992443203926,1.0,0.001,0.00863892212510109,1.0736514329910278,21,11963.223309326171,7.033348083496094e-05
54,861,-278.68333,23,24.0,47104,0.051679275929927826,1.0,0.001,0.007179334759712219,1.0464519262313843,22,9068.15885925293,0.04194849729537964
54,898,-240.63779000000002,24,24.0,49152,0.059139277786016464,1.0,0.001,0.0074384454637765884,1.0349560976028442,23,7584.158895874023,0.17802035808563232
54,936,-229.91754,25,24.0,51200,0.05454728752374649,1.0,0.001,0.007393841166049242,1.042582392692566,24,4945.152680969239,0.24193960428237915
54,974,-206.77328999999997,26,24.0,53248,0.05459145829081535,1.0,0.001,0.007113251369446516,1.036502480506897,25,4057.075636291504,0.35086578130722046
54,1012,-173.62999,27,24.0,55296,0.07931467145681381,1.0,0.001,0.007538496050983667,1.039923906326294,26,2526.322258758545,0.5462792813777924
54,1050,-134.25334999999998,28,24.0,57344,0.07684303820133209,1.0,0.001,0.008055812679231167,1.0358093976974487,27,1301.1787090301514,0.652268648147583
