time/total_timesteps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/policy_loss,train/value_loss,train/n_updates,train/explained_variance,train/std,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
30000,0.0007,-16.56850242614746,375,-2144.50927734375,14583.4970703125,5999,0.0661436915397644,1.0931979417800903,79,-584.7787099999998,24.0,6000
30500,0.0007,-16.590295791625977,381,-1741.009765625,11917.0234375,6099,0.0,1.0951697826385498,79,-582.72757,24.0,6100
31000,0.0007,-16.58681297302246,388,-1075.620361328125,5663.4560546875,6199,0.0,1.0955342054367065,79,-587.3933599999999,24.0,6200
31500,0.0007,-16.615304946899414,394,-285.6919250488281,360.8519592285156,6299,0.7935264557600021,1.0983375310897827,79,-598.4510300000001,24.0,6300
32000,0.0007,-16.600547790527344,400,715.9955444335938,7241.07421875,6399,-0.925432562828064,1.0966672897338867,79,-601.97012,24.0,6400
32500,0.0007,-16.63615608215332,407,-2037.2476806640625,20004.03515625,6499,0.08140027523040771,1.1004414558410645,79,-607.12101,24.0,6500
33000,0.0007,-16.65091323852539,413,-1961.0318603515625,17698.07421875,6599,2.980232238769531e-07,1.1020795106887817,79,-610.97103,24.0,6600
33500,0.0007,-16.663047790527344,420,-1768.065673828125,11414.208984375,6699,0.0,1.1031811237335205,79,-611.79692,24.0,6700
34000,0.0007,-16.675434112548828,426,-1125.539306640625,4991.07958984375,6799,0.0,1.1046483516693115,79,-612.30892,24.0,6800
34500,0.0007,-16.686193466186523,434,-283.4662780761719,460.83807373046875,6899,0.7051429152488708,1.1063058376312256,79,-608.93291,24.0,6900
35000,0.0007,-16.72939682006836,440,833.82373046875,8203.5302734375,6999,-0.29178285598754883,1.1100172996520996,79,-610.6089200000001,24.0,7000
35500,0.0007,-16.7612361907959,447,-2130.56298828125,17566.03515625,7099,0.42797672748565674,1.1132968664169312,79,-612.36233,24.0,7100
36000,0.0007,-16.783876419067383,453,-1797.4407958984375,17967.669921875,7199,0.0015385150909423828,1.1161335706710815,79,-614.65857,24.0,7200
36500,0.0007,-16.825443267822266,459,-1620.74853515625,10972.8076171875,7299,0.0,1.119691014289856,79,-615.4428800000001,24.0,7300
37000,0.0007,-16.878416061401367,466,-1149.0390625,5898.08349609375,7399,0.0,1.12528395652771,79,-613.7636900000001,24.0,7400
37500,0.0007,-16.9056396484375,473,-284.82330322265625,379.9049072265625,7499,0.7838696539402008,1.127755045890808,79,-607.46026,24.0,7500
38000,0.0007,-16.94737434387207,479,879.2083129882812,9112.55078125,7599,-0.3016854524612427,1.13197922706604,79,-600.36183,24.0,7600
38500,0.0007,-16.928504943847656,486,-2264.844482421875,22732.177734375,7699,0.002691030502319336,1.1301416158676147,79,-594.91653,24.0,7700
39000,0.0007,-16.94258689880371,493,-2170.864013671875,15990.927734375,7799,9.5367431640625e-07,1.1309411525726318,79,-592.7608999999999,24.0,7800
39500,0.0007,-16.964277267456055,499,-1483.334716796875,11234.6064453125,7899,0.0,1.1338591575622559,79,-592.0984199999999,24.0,7900
40000,0.0007,-16.981426239013672,505,-988.1134643554688,4838.9873046875,7999,0.0,1.1357628107070923,79,-589.46267,24.0,8000
40500,0.0007,-16.98708152770996,512,-309.2405090332031,440.76007080078125,8099,0.8169101029634476,1.1361602544784546,79,-585.7068500000001,24.0,8100
41000,0.0007,-17.012073516845703,518,942.2366333007812,11281.583984375,8199,-0.27153027057647705,1.1387604475021362,79,-585.37809,24.0,8200
41500,0.0007,-17.036090850830078,524,-1477.662841796875,9944.7001953125,8299,0.37518244981765747,1.1410306692123413,79,-582.1589100000001,24.0,8300
42000,0.0007,-17.053518295288086,531,-2004.0247802734375,14330.96875,8399,2.0265579223632812e-06,1.14223051071167,79,-572.0887,24.0,8400
42500,0.0007,-17.08519744873047,537,-1409.65283203125,9980.431640625,8499,-1.1920928955078125e-07,1.1462715864181519,79,-567.50523,24.0,8500
43000,0.0007,-17.125892639160156,543,-1223.054931640625,4819.89501953125,8599,0.0,1.149680256843567,79,-563.9793,24.0,8600
43500,0.0007,-17.166532516479492,550,-195.7294464111328,276.58990478515625,8699,0.7062298059463501,1.1542078256607056,79,-552.7399100000001,24.0,8700
44000,0.0007,-17.187002182006836,556,889.1856689453125,13417.228515625,8799,-0.16680407524108887,1.1562925577163696,79,-550.23308,24.0,8800
