train/value_loss,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/learning_rate,train/std,time/fps,time/iterations,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/policy_loss
11850.6748046875,24.0,-15.662551879882812,-3.814697265625e-06,0.0007,1.0047273635864258,72,100,99,-506.71819999999997,6,500,-1682.3717041015625
4538.51953125,24.0,-15.645535469055176,4.827976226806641e-06,0.0007,1.003690481185913,72,200,199,-524.7716585365854,13,1000,-931.8477783203125
255.84130859375,24.0,-15.647608757019043,0.5597766637802124,0.0007,1.003787875175476,72,300,299,-524.17,20,1500,-162.61480712890625
1927.854248046875,24.0,-15.682576179504395,0.32901978492736816,0.0007,1.0069829225540161,71,400,399,-520.9595180722893,27,2000,40.84300994873047
20804.099609375,24.0,-15.69823932647705,0.0,0.0007,1.0081912279129028,68,500,499,-517.85655,36,2500,-2274.74267578125
17082.197265625,24.0,-15.743441581726074,-1.1920928955078125e-07,0.0007,1.012701153755188,65,600,599,-519.26639,45,3000,-1845.2220458984375
8880.408203125,24.0,-15.748941421508789,0.0,0.0007,1.0132224559783936,64,700,699,-518.9798400000001,54,3500,-1291.747314453125
5197.52978515625,24.0,-15.780532836914062,0.0,0.0007,1.0156553983688354,63,800,799,-516.58937,63,4000,-1137.9049072265625
477.2254943847656,24.0,-15.826848983764648,0.7867661416530609,0.0007,1.0204463005065918,62,900,899,-518.78508,72,4500,-255.7826690673828
684.114013671875,24.0,-15.881091117858887,0.7347125709056854,0.0007,1.0254162549972534,61,1000,999,-524.5400999999999,81,5000,-171.1548309326172
23194.2578125,24.0,-15.854660034179688,0.0,0.0007,1.0226553678512573,60,1100,1099,-526.5678499999999,90,5500,-2412.750244140625
18307.638671875,24.0,-15.879789352416992,0.0,0.0007,1.025355577468872,59,1200,1199,-536.4712299999999,100,6000,-1941.392578125
11700.8359375,24.0,-15.882753372192383,-1.1920928955078125e-07,0.0007,1.025666356086731,59,1300,1299,-548.1401399999999,109,6500,-1596.2120361328125
5781.8134765625,24.0,-15.889422416687012,0.0,0.0007,1.0266733169555664,58,1400,1399,-559.18604,119,7000,-1007.7673950195312
419.5077209472656,24.0,-15.85717487335205,0.677071750164032,0.0007,1.023443341255188,58,1500,1499,-567.73008,128,7500,-267.23382568359375
304.0457763671875,24.0,-15.875025749206543,0.8133537322282791,0.0007,1.0247620344161987,58,1600,1599,-572.4059000000001,137,8000,-112.0303955078125
23988.939453125,24.0,-15.890375137329102,0.0,0.0007,1.026492953300476,57,1700,1699,-571.6211800000001,147,8500,-2190.36865234375
16116.2314453125,24.0,-15.893936157226562,-1.1920928955078125e-07,0.0007,1.0268073081970215,57,1800,1799,-569.92482,157,9000,-1760.359375
9172.7841796875,24.0,-15.900575637817383,1.7881393432617188e-07,0.0007,1.0273876190185547,56,1900,1899,-563.76478,166,9500,-1347.771240234375
5179.171875,24.0,-15.92414665222168,0.0,0.0007,1.0296119451522827,56,2000,1999,-556.8562,176,10000,-1014.2008056640625
475.587890625,24.0,-15.934414863586426,0.8978981599211693,0.0007,1.0305333137512207,56,2100,2099,-551.76811,185,10500,-323.56695556640625
400.5537109375,24.0,-15.972572326660156,0.6041308641433716,0.0007,1.0341500043869019,56,2200,2199,-547.5187500000001,195,11000,89.1585922241211
23555.58984375,24.0,-16.064210891723633,0.0,0.0007,1.0429004430770874,56,2300,2299,-548.68314,204,11500,-2160.830078125
17562.40234375,24.0,-16.09494972229004,-1.1920928955078125e-07,0.0007,1.0457918643951416,55,2400,2399,-554.76915,214,12000,-1834.3521728515625
11478.060546875,24.0,-16.086334228515625,1.1920928955078125e-07,0.0007,1.044272780418396,55,2500,2499,-561.05372,224,12500,-1842.843017578125
5962.1513671875,24.0,-16.081880569458008,0.0,0.0007,1.0443625450134277,55,2600,2599,-567.87626,233,13000,-1197.601806640625
466.9137268066406,24.0,-16.095783233642578,0.7839638739824295,0.0007,1.0458595752716064,55,2700,2699,-572.34919,243,13500,-316.6263122558594
910.5475463867188,24.0,-16.097530364990234,-0.2412259578704834,0.0007,1.0463529825210571,55,2800,2799,-575.22073,252,14000,159.99151611328125
24461.697265625,24.0,-16.108596801757812,3.9696693420410156e-05,0.0007,1.047592043876648,55,2900,2899,-577.54553,262,14500,-2096.007080078125
17952.552734375,24.0,-16.11331558227539,0.0,0.0007,1.0477185249328613,55,3000,2999,-579.19922,271,15000,-1995.125244140625
11841.751953125,24.0,-16.142967224121094,0.0,0.0007,1.0503283739089966,55,3100,3099,-579.47966,281,15500,-1767.2353515625
5900.37255859375,24.0,-16.186017990112305,0.0,0.0007,1.0542534589767456,55,3200,3199,-580.57623,290,16000,-1303.65869140625
879.9739379882812,24.0,-16.178970336914062,0.4868180751800537,0.0007,1.0537664890289307,55,3300,3299,-580.67076,299,16500,-393.2655029296875
1699.65234375,24.0,-16.177839279174805,-1.2654705047607422,0.0007,1.0538215637207031,55,3400,3399,-581.42314,309,17000,310.858154296875
24009.24609375,24.0,-16.200956344604492,0.0,0.0007,1.0560365915298462,54,3500,3499,-582.1434,318,17500,-2211.01904296875
17396.328125,24.0,-16.17437171936035,-1.1920928955078125e-07,0.0007,1.0534014701843262,54,3600,3599,-581.71364,327,18000,-1918.087158203125
10891.404296875,24.0,-16.186965942382812,0.0,0.0007,1.0546265840530396,54,3700,3699,-580.97484,337,18500,-1547.956298828125
5530.21728515625,24.0,-16.20054054260254,0.0,0.0007,1.0558955669403076,54,3800,3799,-579.72348,347,19000,-1130.342529296875
