train/step_size,train/iterations,rollout/ep_rew_mean,time/fps,rollout/return_std,time/total_timesteps,time/time_elapsed,train/delta_std,rollout/ep_len_mean,train/learning_rate
2.9179132070566993e-06,42,52.33237499999997,52,856.7766723632812,16512,312,0.05,24.0,0.02
4.4064172470825724e-06,43,245.160125,52,567.3543701171875,16896,319,0.05,24.0,0.02
8.961189450928941e-06,44,428.14768749999996,52,278.9808349609375,17280,326,0.05,24.0,0.02
1.1547545909706969e-05,45,438.958375,52,216.49620056152344,17664,334,0.05,24.0,0.02
9.810692972678225e-06,46,350.6473125,52,254.82400512695312,18048,341,0.05,24.0,0.02
6.560072051797761e-06,47,385.766125,52,381.0933837890625,18432,348,0.05,24.0,0.02
8.270691614598036e-05,48,558.2901875,52,30.227214813232422,18816,355,0.05,24.0,0.02
1.9517128748702817e-05,49,536.506875,52,128.0926055908203,19200,363,0.05,24.0,0.02
3.950971404265147e-06,50,180.70543750000002,52,632.7557373046875,19584,370,0.05,24.0,0.02
2.2705762603436597e-05,51,496.322125,52,110.10420989990234,19968,377,0.05,24.0,0.02
8.564818926970474e-06,52,457.181375,52,291.8917541503906,20352,385,0.05,24.0,0.02
2.250969373562839e-05,53,518.6783125,52,111.06326293945312,20736,392,0.05,24.0,0.02
6.693402610835619e-06,54,392.92112499999996,52,373.5021057128906,21120,399,0.05,24.0,0.02
8.978136065707076e-06,55,422.88968750000004,52,278.4542236328125,21504,406,0.05,24.0,0.02
1.176316618511919e-05,56,491.5545625,52,212.52780151367188,21888,413,0.05,24.0,0.02
7.100972197804367e-06,57,417.6995625,52,352.064453125,22272,421,0.05,24.0,0.02
1.1805375834228471e-05,58,492.5955625,52,211.76791381835938,22656,428,0.05,24.0,0.02
7.383495358226355e-06,59,440.72775,52,338.593017578125,23040,435,0.05,24.0,0.02
6.471040251199156e-06,60,430.167375,52,386.3366394042969,23424,442,0.05,24.0,0.02
2.083015897369478e-05,61,536.580125,52,120.0182876586914,23808,449,0.05,24.0,0.02
1.3177000255382154e-05,62,471.1345,52,189.72451782226562,24192,456,0.05,24.0,0.02
2.3833359591662884e-05,63,509.8740625,52,104.89498901367188,24576,464,0.05,24.0,0.02
1.0957716767734382e-05,64,459.9319375,52,228.14971923828125,24960,471,0.05,24.0,0.02
2.0176741600153036e-05,65,531.2268125,52,123.905029296875,25344,478,0.05,24.0,0.02
9.515415877103806e-05,66,547.2144375,52,26.273155212402344,25728,485,0.05,24.0,0.02
9.062995559361298e-06,67,447.988625,52,275.84698486328125,26112,492,0.05,24.0,0.02
7.34435670892708e-05,68,559.0005,52,34.03974151611328,26496,500,0.05,24.0,0.02
9.466088158660568e-06,69,478.702,52,264.10064697265625,26880,507,0.05,24.0,0.02
7.52007108530961e-05,70,573.0880625,52,33.24436569213867,27264,514,0.05,24.0,0.02
1.7364058294333518e-05,71,505.966625,52,143.97555541992188,27648,522,0.05,24.0,0.02
6.47404840492527e-06,72,436.9135,52,386.1571350097656,28032,528,0.05,24.0,0.02
5.152300218469463e-05,73,560.2324375000001,52,48.52201461791992,28416,536,0.05,24.0,0.02
0.00011126435856567696,74,578.4766875,52,22.469009399414062,28800,543,0.05,24.0,0.02
8.656769205117598e-05,75,580.894,52,28.879133224487305,29184,550,0.05,24.0,0.02
9.082355063583236e-06,76,511.97574999999995,52,275.2590026855469,29568,558,0.05,24.0,0.02
0.00013445988588500768,77,588.3831875,52,18.592905044555664,29952,565,0.05,24.0,0.02
0.00026740680914372206,78,597.3610625000001,52,9.349051475524902,30336,572,0.05,24.0,0.02
1.4496515177597757e-05,79,555.139125,52,172.45523071289062,30720,579,0.05,24.0,0.02
1.4120555533736479e-05,80,534.5363749999999,52,177.04685974121094,31104,587,0.05,24.0,0.02
0.0001684129238128662,81,584.4695624999999,53,14.844467163085938,31488,594,0.05,24.0,0.02
5.0965911214007065e-05,82,578.798875,52,49.05239486694336,31872,601,0.05,24.0,0.02
6.16008837823756e-05,83,574.5543125,53,40.583831787109375,32256,608,0.05,24.0,0.02
0.00018956193525809795,84,585.6259375,53,13.188301086425781,32640,615,0.05,24.0,0.02
0.0001547150022815913,85,587.7264375,53,16.158742904663086,33024,622,0.05,24.0,0.02
0.00025972817093133926,86,591.3005625000001,53,9.625447273254395,33408,629,0.05,24.0,0.02
0.00025065953377634287,87,591.251375,53,9.973688125610352,33792,636,0.05,24.0,0.02
1.0141741768165957e-05,88,502.2000625,53,246.50596618652344,34176,643,0.05,24.0,0.02
0.00017999492411036044,89,591.0795625000001,53,13.889280319213867,34560,650,0.05,24.0,0.02
0.00047800561878830194,90,593.0564374999999,53,5.2300639152526855,34944,657,0.05,24.0,0.02
3.143636786262505e-05,91,575.0760625,53,79.52572631835938,35328,664,0.05,24.0,0.02
1.1489909411466215e-05,92,532.5798749999999,53,217.58221435546875,35712,672,0.05,24.0,0.02
0.00013870977272745222,93,592.1634375,53,18.023242950439453,36096,679,0.05,24.0,0.02
0.00011967532191192731,94,589.1982499999999,53,20.889854431152344,36480,686,0.05,24.0,0.02
0.0001419305190211162,95,591.027875,53,17.6142520904541,36864,694,0.05,24.0,0.02
1.4071710211283062e-05,96,552.60375,53,177.6614227294922,37248,701,0.05,24.0,0.02
8.899073145585135e-05,97,587.8054999999999,53,28.09281349182129,37632,709,0.05,24.0,0.02
2.003786175919231e-05,98,566.4685625,53,124.76380920410156,38016,716,0.05,24.0,0.02
0.0002675144060049206,99,598.4678125,53,9.345291137695312,38400,724,0.05,24.0,0.02
0.0003307760343886912,100,600.0374999999999,53,7.557983875274658,38784,731,0.05,24.0,0.02
0.00023280797176994383,101,595.2180625000001,53,10.738463401794434,39168,738,0.05,24.0,0.02
0.00032525204005651176,102,599.2659375000001,53,7.686346530914307,39552,745,0.05,24.0,0.02
0.00018987248768098652,103,598.523375,53,13.166730880737305,39936,753,0.05,24.0,0.02
0.00019371470261830837,104,597.486875,53,12.905576705932617,40320,760,0.05,24.0,0.02
0.0001541061355965212,105,594.8878125,53,16.222585678100586,40704,767,0.05,24.0,0.02
0.00025402192841283977,106,600.2327500000001,52,9.841670036315918,41088,775,0.05,24.0,0.02
1.4738915524503682e-05,107,554.0599374999999,52,169.61898803710938,41472,782,0.05,24.0,0.02
0.00033231626730412245,108,602.7106875,52,7.522953987121582,41856,790,0.05,24.0,0.02
1.5097210962267127e-05,109,555.3893125,52,165.59349060058594,42240,797,0.05,24.0,0.02
0.0001345321797998622,110,598.5591875,52,18.582914352416992,42624,805,0.05,24.0,0.02
0.0003872467787005007,111,601.10225,52,6.455831050872803,43008,812,0.05,24.0,0.02
5.1189195801271126e-05,112,590.9502500000001,52,48.83843231201172,43392,820,0.05,24.0,0.02
0.00037730770418420434,113,603.4965,52,6.625891208648682,43776,827,0.05,24.0,0.02
0.00033971763332374394,114,599.9510625,52,7.359052658081055,44160,834,0.05,24.0,0.02
0.00016086589312180877,115,598.5765624999999,52,15.540895462036133,44544,842,0.05,24.0,0.02
2.1303289031493478e-05,116,569.928375,52,117.35277557373047,44928,849,0.05,24.0,0.02
0.00024328561266884208,117,600.1185625,52,10.27598762512207,45312,857,0.05,24.0,0.02
0.00023893328034318984,118,605.9111875000001,52,10.46317195892334,45696,864,0.05,24.0,0.02
0.00012038541899528354,119,594.4774375,52,20.766633987426758,46080,872,0.05,24.0,0.02
7.326821105380077e-06,120,483.013375,52,341.21209716796875,46464,879,0.05,24.0,0.02
0.0001223893923452124,121,589.7243125,52,20.426605224609375,46848,886,0.05,24.0,0.02
0.00014841176744084805,122,599.544625,52,16.84502601623535,47232,894,0.05,24.0,0.02
0.00015016754332464188,123,593.7894375,52,16.6480712890625,47616,901,0.05,24.0,0.02
