time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates
22,488,-3919.5011200000004,516,24.0,11712,192242.96875,0.16804461181163788,2717.118408203125,2.0501275062561035,0.0003,11611
22,492,-3939.5426099999995,520,24.0,11808,152236.8125,0.6406129598617554,2323.486328125,2.0436952114105225,0.0003,11707
22,496,-3962.7182600000006,524,24.0,11904,96746.9453125,-0.9030699729919434,2319.72119140625,2.0416693687438965,0.0003,11803
22,500,-3959.4517299999993,528,24.0,12000,289343.125,0.1235942393541336,2199.66064453125,2.037083148956299,0.0003,11899
22,504,-3958.15401,532,24.0,12096,292845.9375,-0.3599034547805786,2251.39404296875,2.0297842025756836,0.0003,11995
22,508,-3971.4298799999997,536,24.0,12192,689847.25,0.5137149095535278,2151.3447265625,2.0250391960144043,0.0003,12091
22,512,-3943.2142099999996,540,24.0,12288,108585.8203125,-0.2516700327396393,2413.672607421875,2.015738010406494,0.0003,12187
22,516,-3951.0400099999997,544,24.0,12384,249612.9375,0.19038212299346924,1826.0126953125,2.0083560943603516,0.0003,12283
22,520,-3928.18067,548,24.0,12480,67933.453125,0.6784395575523376,2031.568603515625,2.0052545070648193,0.0003,12379
22,524,-3929.7186299999994,552,24.0,12576,89515.125,0.47745662927627563,2376.33935546875,1.9930123090744019,0.0003,12475
22,528,-3935.8846300000005,556,24.0,12672,109022.65625,0.4238572120666504,2019.737548828125,1.9892191886901855,0.0003,12571
22,532,-3935.5183999999995,561,24.0,12768,56219.9765625,0.4410999119281769,2022.8701171875,1.9832361936569214,0.0003,12667
22,536,-3944.92461,564,24.0,12864,111097.3125,0.9492153525352478,2193.424072265625,1.968467354774475,0.0003,12763
22,540,-3961.58516,568,24.0,12960,233834.0,-0.24791225790977478,2220.314453125,1.9539581537246704,0.0003,12859
22,544,-3968.42837,572,24.0,13056,560144.3125,-0.11533795297145844,2388.57080078125,1.9415303468704224,0.0003,12955
22,548,-3973.3103400000005,576,24.0,13152,202146.8125,-0.3973340094089508,2123.90234375,1.9327630996704102,0.0003,13051
22,552,-4009.0564400000003,581,24.0,13248,127937.640625,0.252666711807251,2383.660888671875,1.9291225671768188,0.0003,13147
22,556,-4005.9079400000005,585,24.0,13344,132614.21875,0.40696844458580017,2153.349365234375,1.926419973373413,0.0003,13243
22,560,-4019.9442000000004,589,24.0,13440,290416.84375,0.42104876041412354,2469.35400390625,1.9113116264343262,0.0003,13339
22,564,-4035.12513,593,24.0,13536,422707.78125,0.28967419266700745,1966.5010986328125,1.9008394479751587,0.0003,13435
22,568,-4068.7103199999997,597,24.0,13632,254136.40625,1.2995705604553223,2188.8037109375,1.8918553590774536,0.0003,13531
22,572,-4082.35429,601,24.0,13728,111106.4921875,0.6074402928352356,2240.373046875,1.8919541835784912,0.0003,13627
22,576,-4084.9794399999996,605,24.0,13824,307089.4375,-0.7176586389541626,2134.458740234375,1.8842390775680542,0.0003,13723
22,580,-4085.294079999999,609,24.0,13920,466805.40625,0.22757165133953094,1945.9896240234375,1.8758528232574463,0.0003,13819
22,584,-4093.3586,613,24.0,14016,70684.5,1.0536983013153076,2435.06884765625,1.864258050918579,0.0003,13915
22,588,-4102.950879999999,617,24.0,14112,378748.0625,-0.041824985295534134,1865.0137939453125,1.8527650833129883,0.0003,14011
22,592,-4082.64072,621,24.0,14208,328573.15625,-0.34718310832977295,2318.439208984375,1.8504048585891724,0.0003,14107
22,596,-4065.4251900000004,625,24.0,14304,69823.765625,0.5327442288398743,2299.78955078125,1.8418759107589722,0.0003,14203
22,600,-4060.5634199999995,629,24.0,14400,564702.25,-0.4161013960838318,2497.72021484375,1.8347176313400269,0.0003,14299
22,604,-4058.9111099999996,633,24.0,14496,62743.203125,-0.5273786187171936,2173.263671875,1.8337676525115967,0.0003,14395
22,608,-4047.61762,637,24.0,14592,140975.96875,0.4383400082588196,2022.063720703125,1.8254616260528564,0.0003,14491
22,612,-4091.20198,641,24.0,14688,200210.21875,0.4137381315231323,2281.3544921875,1.8231533765792847,0.0003,14587
22,616,-4084.29067,645,24.0,14784,313064.59375,0.04006218910217285,1838.500244140625,1.8125509023666382,0.0003,14683
22,620,-4088.83069,649,24.0,14880,99809.125,-0.2798091173171997,1792.1947021484375,1.8060107231140137,0.0003,14779
22,624,-4110.402000000001,653,24.0,14976,130905.390625,0.13949993252754211,2080.7919921875,1.8058353662490845,0.0003,14875
22,628,-4108.1006800000005,657,24.0,15072,93607.0703125,-0.526827335357666,2028.69091796875,1.7977981567382812,0.0003,14971
22,632,-4121.11935,661,24.0,15168,348776.9375,-0.09901061654090881,2154.89697265625,1.784335970878601,0.0003,15067
22,636,-4134.19878,666,24.0,15264,127916.84375,-0.016017284244298935,2179.763916015625,1.7767579555511475,0.0003,15163
22,640,-4131.779769999999,670,24.0,15360,75914.90625,-0.16079699993133545,2221.54443359375,1.7743475437164307,0.0003,15259
22,644,-4120.41506,674,24.0,15456,67267.890625,0.18245194852352142,1955.8829345703125,1.7669306993484497,0.0003,15355
22,648,-4116.72015,678,24.0,15552,77967.203125,0.12800981104373932,2196.96337890625,1.7704347372055054,0.0003,15451
22,652,-4102.12787,682,24.0,15648,49485.3046875,0.1822628378868103,2506.748291015625,1.759056568145752,0.0003,15547
22,656,-4088.0983399999996,686,24.0,15744,101952.015625,-0.020384322851896286,2276.64990234375,1.75303053855896,0.0003,15643
22,660,-4078.8869,690,24.0,15840,422319.125,-0.009824469685554504,2087.39306640625,1.7439002990722656,0.0003,15739
22,664,-4084.899770000001,694,24.0,15936,123838.0625,0.5646556615829468,2026.150146484375,1.7266095876693726,0.0003,15835
22,668,-4043.7198699999994,698,24.0,16032,159043.25,0.05645383894443512,1891.8551025390625,1.7169071435928345,0.0003,15931
22,672,-4022.1455500000006,702,24.0,16128,83615.5390625,0.19095686078071594,2068.5927734375,1.7098441123962402,0.0003,16027
22,676,-4053.370400000001,706,24.0,16224,115596.6953125,-0.11234283447265625,2471.25341796875,1.7103935480117798,0.0003,16123
22,680,-4048.0687699999994,710,24.0,16320,613363.25,-0.23228606581687927,2069.623046875,1.7027382850646973,0.0003,16219
22,684,-4046.51321,714,24.0,16416,297339.8125,0.25333428382873535,1953.282958984375,1.6975799798965454,0.0003,16315
22,688,-4050.77332,719,24.0,16512,78753.625,0.37943482398986816,2052.176025390625,1.6927801370620728,0.0003,16411
22,692,-4055.2836599999996,723,24.0,16608,1084585.5,0.004453346133232117,2424.310302734375,1.685878038406372,0.0003,16507
22,696,-4042.677179999999,727,24.0,16704,298680.5,-0.037363748997449875,2026.130615234375,1.6819133758544922,0.0003,16603
22,700,-4033.6556999999993,731,24.0,16800,62103.4140625,0.6924998164176941,2245.678955078125,1.6760655641555786,0.0003,16699
22,704,-4053.0425599999994,736,24.0,16896,193537.15625,-0.22880768775939941,2200.50927734375,1.6706653833389282,0.0003,16795
22,708,-4057.5724599999994,740,24.0,16992,47834.5703125,0.45276176929473877,2096.253662109375,1.6639809608459473,0.0003,16891
22,712,-4043.2100599999994,745,24.0,17088,93377.34375,-0.25106242299079895,2365.139892578125,1.6584367752075195,0.0003,16987
