train/step_size,rollout/return_std,time/time_elapsed,train/delta_std,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/iterations
9.196741302730516e-05,27.183542251586914,411,0.05,22272,54,24.0,0.02,547.818,57
6.611374374188017e-06,378.1361999511719,418,0.05,22656,54,24.0,0.02,423.4586875,58
1.996911123569589e-05,125.19335174560547,425,0.05,23040,54,24.0,0.02,515.614375,59
0.00015730738232377917,15.892452239990234,433,0.05,23424,54,24.0,0.02,554.5853125,60
3.095166448474629e-06,807.7109985351562,440,0.05,23808,54,24.0,0.02,277.19737499999997,61
1.447173417545855e-05,172.75054931640625,447,0.05,24192,54,24.0,0.02,522.9736875,62
7.4680419857031666e-06,334.759765625,454,0.05,24576,54,24.0,0.02,439.718125,63
7.777046994306147e-05,32.145877838134766,461,0.05,24960,54,24.0,0.02,553.9916874999999,64
0.00017263901827391237,14.481082916259766,468,0.05,25344,54,24.0,0.02,560.108,65
1.4673138139187358e-05,170.37936401367188,475,0.05,25728,54,24.0,0.02,501.710875,66
0.00011317123426124454,22.090417861938477,483,0.05,26112,54,24.0,0.02,556.7781875000001,67
1.4675189049739856e-05,170.3555450439453,490,0.05,26496,54,24.0,0.02,516.0995625,68
1.3920308447268326e-05,179.59371948242188,497,0.05,26880,54,24.0,0.02,504.6619375,69
0.00015768794401083142,15.854097366333008,504,0.05,27264,54,24.0,0.02,554.412,70
0.000151812972035259,16.46763038635254,511,0.05,27648,54,24.0,0.02,557.3371875,71
0.00011121925490442663,22.478120803833008,518,0.05,28032,54,24.0,0.02,570.1860625,72
0.00012142341438448057,20.589109420776367,525,0.05,28416,54,24.0,0.02,566.8758124999999,73
0.0001395163417328149,17.91904640197754,532,0.05,28800,54,24.0,0.02,570.2465,74
0.00014208414359018207,17.59520721435547,539,0.05,29184,54,24.0,0.02,573.7784999999999,75
0.00013457414752338082,18.577119827270508,547,0.05,29568,54,24.0,0.02,576.4247499999999,76
0.00016602194227743894,15.058250427246094,554,0.05,29952,54,24.0,0.02,577.925375,77
2.154065623471979e-05,116.05960083007812,561,0.05,30336,54,24.0,0.02,551.4189375,78
0.00015706171689089388,15.917309761047363,568,0.05,30720,54,24.0,0.02,582.0491875,79
6.864491979285958e-07,3641.929931640625,575,0.05,31104,54,24.0,0.02,-337.947,80
1.3815206330036744e-05,180.96002197265625,582,0.05,31488,54,24.0,0.02,521.4659999999999,81
6.413236860680627e-06,389.8187561035156,588,0.05,31872,54,24.0,0.02,481.4590625000001,82
1.3660740478371736e-05,183.0061798095703,595,0.05,32256,54,24.0,0.02,534.992875,83
1.061588500306243e-05,235.4961395263672,602,0.05,32640,54,24.0,0.02,523.99775,84
5.479602350533241e-06,456.23748779296875,609,0.05,33024,54,24.0,0.02,469.45675000000006,85
2.1393710994743742e-05,116.85676574707031,616,0.05,33408,54,24.0,0.02,549.43425,86
2.0165487512713298e-05,123.97418975830078,623,0.05,33792,54,24.0,0.02,539.91675,87
0.00010836763976840302,23.069616317749023,630,0.05,34176,54,24.0,0.02,574.9463125000001,88
0.00015674068708904088,15.949909210205078,637,0.05,34560,54,24.0,0.02,583.67525,89
2.112359470629599e-05,118.35106658935547,644,0.05,34944,54,24.0,0.02,551.732,90
9.252286758965056e-07,2702.03466796875,651,0.05,35328,54,24.0,0.02,-87.98975000000002,91
1.4620987712987699e-05,170.98707580566406,658,0.05,35712,54,24.0,0.02,534.1463749999999,92
5.553201845032163e-06,450.19073486328125,665,0.05,36096,54,24.0,0.02,471.06050000000005,93
0.000199420508579351,12.536323547363281,672,0.05,36480,54,24.0,0.02,586.42425,94
1.2465548934414983e-05,200.55274963378906,679,0.05,36864,54,24.0,0.02,514.0274375,95
0.00014434597687795758,17.31949806213379,686,0.05,37248,54,24.0,0.02,568.5651875000001,96
1.4171495422488078e-05,176.41046142578125,692,0.05,37632,54,24.0,0.02,534.8851875,97
0.0001452529977541417,17.211347579956055,699,0.05,38016,54,24.0,0.02,580.2925,98
0.00023152626818045974,10.797910690307617,706,0.05,38400,54,24.0,0.02,579.3076874999999,99
1.1997172805422451e-05,208.38243103027344,713,0.05,38784,54,24.0,0.02,536.5525625,100
0.00016506804968230426,15.145267486572266,720,0.05,39168,54,24.0,0.02,588.9483125,101
3.813308694589068e-06,655.5986328125,728,0.05,39552,54,24.0,0.02,423.9750625,102
2.085875894408673e-05,119.85372924804688,734,0.05,39936,54,24.0,0.02,548.4291875,103
0.00018267094856128097,13.685810089111328,741,0.05,40320,54,24.0,0.02,591.4654375,104
0.0001688449119683355,14.806488037109375,748,0.05,40704,54,24.0,0.02,585.6078125,105
0.00012950744712725282,19.303909301757812,755,0.05,41088,54,24.0,0.02,586.4031875000001,106
0.00015783036360517144,15.839792251586914,762,0.05,41472,54,24.0,0.02,587.0957500000001,107
0.00017358439799863845,14.402215003967285,769,0.05,41856,54,24.0,0.02,588.76575,108
8.48338459036313e-06,294.6936950683594,776,0.05,42240,54,24.0,0.02,464.9788125,109
2.5864263079711236e-05,96.65846252441406,783,0.05,42624,54,24.0,0.02,568.89675,110
3.5817713069263846e-05,69.79786682128906,790,0.05,43008,54,24.0,0.02,572.3396250000001,111
