time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/std,train/loss,train/entropy_loss
611,17,-530.22225,56,24.0,34816,0.0,0.008116204,-0.004061788169201464,51309.696020507814,0.082958984375,160,0.2,0.0003,1.0020465850830078,21579.24609375,-15.603522700071334
650,18,-526.84363,56,24.0,36864,-1.1920928955078125e-07,0.0085350815,-0.006882709711499046,50288.041015625,0.096240234375,170,0.2,0.0003,1.0019657611846924,21642.869140625,-15.631662100553513
689,19,-528.2438000000001,56,24.0,38912,5.960464477539063e-08,0.007326188,-0.006044904905138537,48413.340393066406,0.092919921875,180,0.2,0.0003,1.0034863948822021,21743.265625,-15.635943061113357
728,20,-525.73282,56,24.0,40960,-1.1920928955078125e-07,0.006761267,-0.005263055751856882,47336.401794433594,0.075634765625,190,0.2,0.0003,0.9970531463623047,22786.953125,-15.607136857509612
765,21,-527.5534200000001,56,24.0,43008,-1.1920928955078125e-07,0.006948225,-0.005367156618740409,45523.193395996095,0.090576171875,200,0.2,0.0003,0.9956724047660828,21652.076171875,-15.564628913998604
804,22,-523.63061,55,24.0,45056,-1.1920928955078125e-07,0.009685291,-0.007703336965641938,44884.90311279297,0.117236328125,210,0.2,0.0003,0.9928321838378906,26474.962890625,-15.535716027021408
842,23,-528.8893999999999,55,24.0,47104,5.960464477539063e-08,0.008693626,-0.0094605654841871,42650.52446289062,0.12763671875,220,0.2,0.0003,0.9864242076873779,19704.810546875,-15.484632587432861
880,24,-527.6886099999999,55,24.0,49152,0.0,0.0076346737,-0.004222514446882997,42690.930444335936,0.08232421875,230,0.2,0.0003,0.9835978150367737,17621.865234375,-15.435868829488754
918,25,-525.54706,55,24.0,51200,0.0,0.013106503,-0.009566370159154758,41161.96602783203,0.13212890625,240,0.2,0.0003,0.9816963076591492,19360.359375,-15.40793643295765
956,26,-522.88695,55,24.0,53248,-1.1920928955078125e-07,0.009582819,-0.004510219969961327,39625.28391723633,0.108544921875,250,0.2,0.0003,0.9797311425209045,19335.90625,-15.38418818116188
995,27,-520.09136,55,24.0,55296,0.0,0.010117799,-0.007189659331925213,38117.168627929685,0.1171875,260,0.2,0.0003,0.982057511806488,16629.75,-15.391896602511405
1033,28,-516.97244,55,24.0,57344,5.960464477539063e-08,0.0072854366,-0.005246012355200946,36702.32639770508,0.105908203125,270,0.2,0.0003,0.9834266304969788,16793.98046875,-15.407379984855652
1072,29,-519.26951,55,24.0,59392,0.0,0.007747297,-0.004891826484526973,35299.549993896486,0.08095703125,280,0.2,0.0003,0.9801819324493408,20184.685546875,-15.393823567032815
1110,30,-515.75874,55,24.0,61440,0.0,0.0067666727,-0.0029003041578107513,34975.21342163086,0.083544921875,290,0.2,0.0003,0.979992687702179,17644.982421875,-15.37065784931183
1148,31,-515.73384,55,24.0,63488,0.0,0.01070342,-0.009412476210854948,33229.60794067383,0.13017578125,300,0.2,0.0003,0.9789331555366516,12616.568359375,-15.361078724265099
1186,32,-517.6310499999998,55,24.0,65536,0.0,0.008355377,-0.00684454695583554,32707.756762695313,0.097021484375,310,0.2,0.0003,0.973422646522522,16213.3896484375,-15.323295536637307
1224,33,-512.7806100000001,55,24.0,67584,-1.1920928955078125e-07,0.008039854,-0.0033202580132638106,31811.650323486327,0.08349609375,320,0.2,0.0003,0.9675115346908569,15042.62890625,-15.254015490412712
1262,34,-517.6332600000001,55,24.0,69632,1.1920928955078125e-07,0.0076891575,-0.002911663529812358,30360.55270996094,0.074072265625,330,0.2,0.0003,0.967007040977478,13118.3271484375,-15.219378805160522
1302,35,-515.39228,55,24.0,71680,5.960464477539063e-08,0.008547811,-0.006979707142454572,30584.180242919923,0.077392578125,340,0.2,0.0003,0.9703169465065002,15935.7568359375,-15.24032843708992
1343,36,-513.8435,54,24.0,73728,5.960464477539063e-08,0.00950778,-0.00652130798844155,29217.042388916016,0.103662109375,350,0.2,0.0003,0.9712967276573181,12887.01953125,-15.258173477649688
1382,37,-504.98154999999997,54,24.0,75776,1.1920928955078125e-07,0.010251426,-0.0064857330478844235,28349.519262695314,0.103076171875,360,0.2,0.0003,0.9742431044578552,13222.744140625,-15.276866072416306
1422,38,-504.6529499999999,54,24.0,77824,1.7881393432617188e-07,0.010007109,-0.008391625550575554,26540.170294189455,0.13896484375,370,0.2,0.0003,0.9709920287132263,13930.544921875,-15.269663935899734
1461,39,-505.8755099999999,54,24.0,79872,3.5762786865234375e-07,0.009483881,-0.0060969443304202285,25746.14616088867,0.119189453125,380,0.2,0.0003,0.9725766777992249,10517.7265625,-15.260438147187234
1500,40,-499.79616999999996,54,24.0,81920,4.172325134277344e-07,0.008900795,-0.004706190031720325,25440.908489990234,0.09404296875,390,0.2,0.0003,0.9761630892753601,13344.013671875,-15.293499100208283
1539,41,-500.45413,54,24.0,83968,6.556510925292969e-07,0.008750689,-0.00531239290285157,23896.008514404297,0.12197265625,400,0.2,0.0003,0.9682510495185852,9733.6982421875,-15.266014897823334
1578,42,-497.07489000000004,54,24.0,86016,2.086162567138672e-06,0.007959165,-0.01022602240118431,23829.930554199218,0.11669921875,410,0.2,0.0003,0.9647122025489807,13041.546875,-15.19763622879982
1618,43,-494.24195,54,24.0,88064,0.030150413513183594,0.0068779998,-0.004137867206009105,23015.57262573242,0.06025390625,420,0.2,0.0003,0.9639949202537537,12740.3046875,-15.182693350315095
1657,44,-489.7518,54,24.0,90112,0.034212589263916016,0.008797666,-0.005177971745433751,22469.387084960938,0.07412109375,430,0.2,0.0003,0.9644941091537476,10729.2001953125,-15.182579511404038
1697,45,-488.26341,54,24.0,92160,0.03764528036117554,0.009426424,-0.009644957259297371,21590.02029724121,0.099658203125,440,0.2,0.0003,0.9623022079467773,9827.17578125,-15.168642419576646
1736,46,-485.29568,54,24.0,94208,0.07798570394515991,0.0070344633,-0.004973240806430112,21130.81858215332,0.05078125,450,0.2,0.0003,0.9621293544769287,9889.546875,-15.157943260669708
1775,47,-487.15634000000006,54,24.0,96256,0.0804896354675293,0.0061903223,-0.003891048663354013,20385.292639160158,0.0533203125,460,0.2,0.0003,0.9600945115089417,11621.904296875,-15.143766549229621
1814,48,-489.29933,54,24.0,98304,0.12589222192764282,0.007428331,-0.0056755830679321665,20083.68812866211,0.066845703125,470,0.2,0.0003,0.9597204327583313,9743.802734375,-15.132088139653206
1854,49,-491.2678600000001,54,24.0,100352,0.12793642282485962,0.008120131,-0.006465959292836487,20157.428625488283,0.07138671875,480,0.2,0.0003,0.9605291485786438,10210.779296875,-15.133427029848098
1894,50,-490.77619,54,24.0,102400,0.1749488115310669,0.0044969837,-0.00173538705566898,19806.8083984375,0.018994140625,490,0.2,0.0003,0.961225152015686,9480.72265625,-15.141464996337891
1933,51,-487.7652100000001,54,24.0,104448,0.19036531448364258,0.0070235534,-0.005335873673902825,19283.59538574219,0.0705078125,500,0.2,0.0003,0.9617338180541992,10273.298828125,-15.148144173622132
1970,52,-485.23469000000006,54,24.0,106496,0.207081139087677,0.0057966504,-0.003627792563929688,19003.59679260254,0.03515625,510,0.2,0.0003,0.9605413675308228,9482.3193359375,-15.144072532653809
2009,53,-482.79141000000004,54,24.0,108544,0.18164217472076416,0.0054414924,-0.00446258131560171,18569.701470947264,0.045166015625,520,0.2,0.0003,0.9616992473602295,8985.5654296875,-15.140993019938469
2047,54,-479.56831,54,24.0,110592,0.2305607795715332,0.009541126,-0.003884307767293649,17469.405841064454,0.108837890625,530,0.2,0.0003,0.9606512188911438,8892.5654296875,-15.139525628089904
2084,55,-477.76784,54,24.0,112640,0.19433677196502686,0.008113558,-0.005034226932912134,17773.12430114746,0.1181640625,540,0.2,0.0003,0.9602054953575134,9277.2392578125,-15.138453823328017
2123,56,-475.3827799999999,54,24.0,114688,0.2026105523109436,0.0076204315,-0.0038260645698755978,17178.222158813478,0.077099609375,550,0.2,0.0003,0.9591861963272095,6752.623046875,-15.126213985681535
2160,57,-473.06940000000003,54,24.0,116736,0.20540761947631836,0.007818024,-0.005775273784820456,16787.630224609376,0.10595703125,560,0.2,0.0003,0.9570509195327759,8605.2265625,-15.105262959003449
2199,58,-475.28621,54,24.0,118784,0.24317294359207153,0.010364688,-0.004464974660368171,15973.838522338867,0.063427734375,570,0.2,0.0003,0.9565763473510742,8661.7158203125,-15.089586696028709
2237,59,-472.2800800000001,53,24.0,120832,0.2538676857948303,0.008024635,-0.0028146392593043855,15921.222183227539,0.066455078125,580,0.2,0.0003,0.9545726776123047,7680.8115234375,-15.073305833339692
2275,60,-469.21127,53,24.0,122880,0.2591128945350647,0.012275578,-0.005885464303719346,15503.070349121093,0.118359375,590,0.2,0.0003,0.9516476988792419,8411.525390625,-15.048724645376206
2314,61,-463.30780000000004,53,24.0,124928,0.2864770293235779,0.008839915,-0.00527809519553557,14733.901443481445,0.1099609375,600,0.2,0.0003,0.9490983486175537,6284.67236328125,-15.013242933154107
2353,62,-466.33472000000006,53,24.0,126976,0.28413498401641846,0.0065611573,-0.0016075227707915475,14018.00920715332,0.047216796875,610,0.2,0.0003,0.9479765295982361,6391.5712890625,-14.99357821047306
2391,63,-458.86644,53,24.0,129024,0.3264690637588501,0.0083140265,-0.004896601435029879,13687.685229492188,0.061474609375,620,0.2,0.0003,0.9468510150909424,6987.31201171875,-14.978816863894462
2429,64,-458.1995199999999,53,24.0,131072,0.30905401706695557,0.0061507616,-0.003496563930821139,13109.59010925293,0.0501953125,630,0.2,0.0003,0.9464550614356995,6646.69873046875,-14.97470445036888
2468,65,-459.3794099999999,53,24.0,133120,0.3726605176925659,0.008046674,-0.0064861092760111205,12372.556127929687,0.064697265625,640,0.2,0.0003,0.9475936889648438,6538.10498046875,-14.976197999715804
2506,66,-461.97933000000006,53,24.0,135168,0.39703214168548584,0.011403054,-0.001877327897818759,11766.703968811034,0.098095703125,650,0.2,0.0003,0.9447650909423828,5489.5478515625,-14.971358409523964
2544,67,-456.29815999999994,53,24.0,137216,0.3613523244857788,0.006467968,-0.0032850638795935082,12490.308981323242,0.108056640625,660,0.2,0.0003,0.9441978931427002,6746.02978515625,-14.943433079123498
2582,68,-453.76441,53,24.0,139264,0.38100510835647583,0.006090846,-0.005786590449861251,11528.718533325195,0.081103515625,670,0.2,0.0003,0.9432966709136963,6084.6923828125,-14.934895187616348
2621,69,-448.53423000000004,53,24.0,141312,0.3922240734100342,0.010155169,-0.004137583056581207,11354.48428955078,0.09130859375,680,0.2,0.0003,0.9414171576499939,5686.50439453125,-14.918906211853027
2660,70,-446.13432,53,24.0,143360,0.38991713523864746,0.006543547,-0.0038848103897180407,10873.732553100586,0.08203125,690,0.2,0.0003,0.9397807717323303,4981.8212890625,-14.899117764830589
2698,71,-440.34774,53,24.0,145408,0.4374823570251465,0.010801135,-0.002975579156191088,9840.928265380859,0.08740234375,700,0.2,0.0003,0.9370920658111572,5515.56884765625,-14.878611865639687
2737,72,-440.96216999999996,53,24.0,147456,0.4274623990058899,0.006444718,-0.0037588101957226174,9699.02580871582,0.048486328125,710,0.2,0.0003,0.9378316402435303,4655.263671875,-14.867697486281395
2775,73,-437.12023,53,24.0,149504,0.42892134189605713,0.008445791,-0.007650933595141396,9695.899583435059,0.0708984375,720,0.2,0.0003,0.9396303296089172,5006.06982421875,-14.881952035427094
2814,74,-429.44142000000005,53,24.0,151552,0.499828577041626,0.0057997536,-0.0038906899630092085,8555.114570617676,0.042626953125,730,0.2,0.0003,0.9395620226860046,3807.387451171875,-14.891050246357917
2852,75,-426.70266000000004,53,24.0,153600,0.49563807249069214,0.011345307,-0.008157528554147576,8254.813235473634,0.094677734375,740,0.2,0.0003,0.9371709227561951,3752.515625,-14.87777325809002
2891,76,-421.62654,53,24.0,155648,0.5087067484855652,0.007752175,-0.008400180356693454,7651.245413208007,0.073681640625,750,0.2,0.0003,0.9377857446670532,4575.2724609375,-14.864951404929162
2929,77,-421.53712999999993,53,24.0,157696,0.5121728181838989,0.009996073,-0.00455994946823921,7440.879148864746,0.0791015625,760,0.2,0.0003,0.937530517578125,3492.103271484375,-14.867806285619736
2968,78,-412.6780900000001,53,24.0,159744,0.5568410754203796,0.0071533164,-0.004618497223418672,6699.81257019043,0.059521484375,770,0.2,0.0003,0.9386616349220276,3569.194580078125,-14.874273121356964
3007,79,-407.59721999999994,53,24.0,161792,0.598377525806427,0.007940702,-0.008337445923825727,5867.963034057617,0.116552734375,780,0.2,0.0003,0.9386513233184814,2618.594970703125,-14.8791602820158
3046,80,-405.98679000000004,53,24.0,163840,0.6501137316226959,0.010862066,-0.005181157682090998,5084.549548339844,0.0939453125,790,0.2,0.0003,0.9381763339042664,2538.358642578125,-14.876690390706063
3084,81,-402.71909999999997,53,24.0,165888,0.683693140745163,0.008615531,-0.005830810006591492,4595.783954620361,0.085693359375,800,0.2,0.0003,0.9371213912963867,2443.279541015625,-14.869490703940391
3122,82,-402.1632599999999,53,24.0,167936,0.7121659219264984,0.007948682,-0.008301946525170934,4219.770236968994,0.097021484375,810,0.2,0.0003,0.9372887015342712,2218.910888671875,-14.863119447231293
3160,83,-393.94788000000005,53,24.0,169984,0.7008792161941528,0.007941386,-0.0065973291282716675,4195.18913192749,0.062109375,820,0.2,0.0003,0.9374979138374329,1746.05517578125,-14.866617485880852
3199,84,-383.02666,53,24.0,172032,0.7213495671749115,0.008991055,-0.008524555515032261,3841.5539249420167,0.09482421875,830,0.2,0.0003,0.9380121231079102,1756.7703857421875,-14.869834598898887
3237,85,-381.85356,53,24.0,174080,0.7304888367652893,0.0077663716,-0.004353663460642565,3512.5453620910644,0.05166015625,840,0.2,0.0003,0.9385948777198792,1968.7069091796875,-14.875744915008545
3275,86,-374.42031999999995,53,24.0,176128,0.7384818494319916,0.0089029325,-0.0061289880686672404,3422.91826171875,0.10078125,850,0.2,0.0003,0.9395743012428284,1057.9139404296875,-14.881678718328477
3314,87,-369.1119499999999,53,24.0,178176,0.7491165995597839,0.0062328046,-0.0033268335406319237,3153.3753768920897,0.05849609375,860,0.2,0.0003,0.9385007619857788,1355.0347900390625,-14.883869215846062
3352,88,-365.26012,53,24.0,180224,0.7536920607089996,0.008571342,-0.006884374638320878,3088.873544692993,0.086572265625,870,0.2,0.0003,0.9385027289390564,1256.7734375,-14.875485333800317
3391,89,-359.36917,53,24.0,182272,0.7643694877624512,0.011825188,-0.008478091648430563,2900.608200073242,0.1267578125,880,0.2,0.0003,0.9387230277061462,1593.7750244140625,-14.878685104846955
3429,90,-351.0283999999999,53,24.0,184320,0.7737970501184464,0.011221966,-0.007738029549364001,2767.582403564453,0.11787109375,890,0.2,0.0003,0.9389407634735107,1542.4530029296875,-14.87850771844387
3467,91,-348.0411099999999,53,24.0,186368,0.7872028648853302,0.008389089,-0.00542950751259923,2217.8336738586427,0.1013671875,900,0.2,0.0003,0.9407063126564026,1157.6697998046875,-14.891091948747635
3506,92,-343.8378,53,24.0,188416,0.8251295387744904,0.008733042,-0.008014948069467209,2046.756321334839,0.099072265625,910,0.2,0.0003,0.9410319924354553,799.5787353515625,-14.899589335918426
3544,93,-334.56113,53,24.0,190464,0.8279088139533997,0.006581949,-0.006216672652226407,1881.7586261749268,0.073583984375,920,0.2,0.0003,0.9393699169158936,985.33154296875,-14.893015253543854
3582,94,-325.77456,53,24.0,192512,0.8423352241516113,0.00791659,-0.007180526664888021,1637.8871494293212,0.10205078125,930,0.2,0.0003,0.9386997818946838,572.7607421875,-14.88037774860859
3621,95,-316.26657,53,24.0,194560,0.8648196309804916,0.0075976504,-0.011515804707596545,1302.8314254760742,0.094677734375,940,0.2,0.0003,0.9384368658065796,625.7291259765625,-14.878223636746407
3659,96,-312.61853,53,24.0,196608,0.8780025765299797,0.013140513,-0.01257279792771442,1246.8101503372193,0.124072265625,950,0.2,0.0003,0.938518762588501,478.72332763671875,-14.87786407470703
3698,97,-298.15179,53,24.0,198656,0.8816501125693321,0.01088077,-0.011854569827846717,1129.1538774490357,0.123779296875,960,0.2,0.0003,0.9366307854652405,564.68408203125,-14.86443046927452
3738,98,-288.40219,53,24.0,200704,0.8783378899097443,0.009288335,-0.01085354746610392,1034.549467277527,0.107568359375,970,0.2,0.0003,0.9367361068725586,395.836669921875,-14.855621817708016
