time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/entropy_loss
1325,55,36,73728,-487.21039,24,0.0003,0.1359375,25533.74031,0.957178652,0,-0.007664744,350,11655.47266,0.2,0.011903616,-15.1174713
1363,55,37,75776,-491.56604,24,0.0003,0.099072266,25207.51906,0.953575075,0,-0.002270777,360,12029.33203,0.2,0.008594601,-15.069491
1401,55,38,77824,-489.77661,24,0.0003,0.142480469,24938.29868,0.94341433,0,-0.009061801,370,13233.7998,0.2,0.010538328,-14.98844455
1440,55,39,79872,-481.06318,24,0.0003,0.132421875,24079.3459,0.940878451,-1.19E-07,-0.00432582,380,9691.929688,0.2,0.011829864,-14.91889627
1478,55,40,81920,-476.85497,24,0.0003,0.141601563,22456.92913,0.938442409,0,-0.007918317,390,11471.43066,0.2,0.011376611,-14.88883741
1516,55,41,83968,-471.44588,24,0.0003,0.159130859,21628.6754,0.934195876,5.96E-08,-0.007860234,400,9175.251953,0.2,0.014040527,-14.8571059
1554,55,42,86016,-479.65633,24,0.0003,0.131787109,20639.46385,0.930042624,0,-0.002388773,410,11259.875,0.2,0.013933689,-14.8020405
1592,55,43,88064,-470.59967,24,0.0003,0.140869141,21071.52908,0.930520058,5.96E-08,-0.00745061,420,11603.71289,0.2,0.012045442,-14.78552525
1630,55,44,90112,-472.88607,24,0.0003,0.152880859,19708.83448,0.937089562,1.19E-07,-0.004703692,430,9140.984375,0.2,0.011892509,-14.82900644
1668,55,45,92160,-470.8381,24,0.0003,0.135009766,19603.2279,0.940912306,1.19E-07,-0.003571213,440,8329.833984,0.2,0.012449095,-14.88584311
1706,55,46,94208,-470.71179,24,0.0003,0.104003906,19264.85343,0.940419018,5.96E-07,-0.005817696,450,8839.456055,0.2,0.006526344,-14.90232708
1744,55,47,96256,-470.90597,24,0.0003,0.054345703,18865.37623,0.940551698,0.036685467,-0.006454151,460,11314.24219,0.2,0.006045081,-14.90102451
1783,55,48,98304,-467.90759,24,0.0003,0.074023438,18616.54263,0.93989718,0.048591971,-0.006644104,470,9330.180664,0.2,0.006767041,-14.89926467
1820,55,49,100352,-466.3847,24,0.0003,0.062158203,18269.77906,0.940220475,0.047244728,-0.004246431,480,9425.857422,0.2,0.008634285,-14.89602989
1859,55,50,102400,-464.7097,24,0.0003,0.086035156,18136.44556,0.94054848,0.05166769,-0.008300613,490,9229.503906,0.2,0.008020436,-14.89810749
1897,55,51,104448,-458.12632,24,0.0003,0.090234375,17824.42836,0.940429688,0.04789269,-0.00609975,500,9910.594727,0.2,0.006479053,-14.89965183
1936,55,52,106496,-457.25746,24,0.0003,0.125830078,17293.96141,0.940748572,0.050441742,-0.009200822,510,8499.966797,0.2,0.010858094,-14.89924391
1974,54,53,108544,-452.30867,24,0.0003,0.123388672,16951.35414,0.938483953,0.050305247,-0.006342439,520,7488.761719,0.2,0.013421461,-14.89251437
2013,54,54,110592,-444.43045,24,0.0003,0.105517578,16396.90857,0.935576677,0.056494653,-0.002842327,530,8758.191406,0.2,0.007613844,-14.85451607
2051,54,55,112640,-442.11654,24,0.0003,0.146435547,15861.53661,0.938377917,0.055480838,-0.003980593,540,7288.996582,0.2,0.011663166,-14.85128
2088,54,56,114688,-446.97074,24,0.0003,0.132958984,15415.70699,0.941292048,0.057119608,-0.001157686,550,6809.753418,0.2,0.008008279,-14.8927745
2127,54,57,116736,-440.79411,24,0.0003,0.115966797,15322.30116,0.94018364,0.097477853,-0.006355326,560,7908.088867,0.2,0.011530487,-14.9006354
2165,54,58,118784,-430.7133,24,0.0003,0.104052734,14861.29767,0.938478827,0.104353726,-0.006714263,570,8267.236328,0.2,0.010138088,-14.88624233
2203,54,59,120832,-430.04657,24,0.0003,0.111328125,13974.02823,0.937224567,0.108576357,-0.005672047,580,6556.090332,0.2,0.008854777,-14.87019302
2241,54,60,122880,-426.72538,24,0.0003,0.159326172,13939.53984,0.932561636,0.11685729,-0.004416374,590,6886.538086,0.2,0.013984369,-14.82869568
2280,54,61,124928,-413.74345,24,0.0003,0.108740234,13222.40834,0.933234632,0.118745804,-0.005447518,600,6017.674316,0.2,0.010249074,-14.80919115
2318,54,62,126976,-414.42936,24,0.0003,0.146240234,12150.58054,0.933914542,0.159486532,0.001601931,610,5714.288574,0.2,0.007255611,-14.82074428
2357,54,63,129024,-407.43779,24,0.0003,0.107080078,12331.30691,0.93297708,0.171111822,-0.003445815,620,6576.508301,0.2,0.006952786,-14.81820058
2395,54,64,131072,-398.61092,24,0.0003,0.119873047,11697.92143,0.929590821,0.180582821,-0.005533522,630,6512.459473,0.2,0.014894735,-14.79177716
2433,54,65,133120,-394.58916,24,0.0003,0.100976563,11212.09654,0.92850703,0.182350636,-0.005267302,640,5940.217285,0.2,0.009662958,-14.7667428
2472,54,66,135168,-393.50261,24,0.0003,0.127734375,11047.09383,0.92763859,0.187827587,-0.004539811,650,5455.345215,0.2,0.016957501,-14.7567247
2511,54,67,137216,-391.89392,24,0.0003,0.166650391,10663.63726,0.92617172,0.189955115,-0.004511311,660,5074.695313,0.2,0.012239546,-14.74556151
2549,54,68,139264,-391.5992,24,0.0003,0.087011719,10219.2575,0.924506545,0.244340897,-0.002121702,670,5846.713867,0.2,0.010689871,-14.7245088
2588,54,69,141312,-390.63926,24,0.0003,0.14296875,10054.57166,0.921829462,0.251672506,-0.003098072,680,4369.229004,0.2,0.008103955,-14.70059246
2626,54,70,143360,-388.1628,24,0.0003,0.109960938,10103.80564,0.92297864,0.254230261,-0.005205379,690,4288.698242,0.2,0.010651922,-14.69071033
2664,54,71,145408,-384.40177,24,0.0003,0.106884766,9615.391344,0.920102715,0.25551641,-0.002942277,700,5099.436035,0.2,0.011964453,-14.6777746
2702,54,72,147456,-382.7468,24,0.0003,0.141064453,9038.118056,0.921506286,0.31157732,-0.00645246,710,4130.686035,0.2,0.02330351,-14.67058223
2740,54,73,149504,-379.37506,24,0.0003,0.110351563,8319.516995,0.921638489,0.366723657,-0.001587133,720,4736.901367,0.2,0.010573369,-14.67909265
2778,54,74,151552,-376.07299,24,0.0003,0.090869141,7798.825874,0.918272793,0.373461723,-0.005389065,730,3968.970947,0.2,0.008625558,-14.65925153
2816,54,75,153600,-370.687,24,0.0003,0.078662109,7247.799701,0.918889761,0.433532119,-0.004455187,740,3067.334229,0.2,0.005332614,-14.64525218
2855,54,76,155648,-371.12524,24,0.0003,0.126953125,7038.324973,0.918590486,0.440833628,-0.002186628,750,4639.393555,0.2,0.00995994,-14.64685378
2893,54,77,157696,-366.45387,24,0.0003,0.131347656,7109.329595,0.916626513,0.444250524,-0.004647054,760,3221.892578,0.2,0.010659774,-14.63323347
2931,54,78,159744,-369.28393,24,0.0003,0.130371094,6414.991043,0.916294158,0.468995094,-0.00417327,770,3318.322998,0.2,0.011338523,-14.61717653
2969,54,79,161792,-357.32093,24,0.0003,0.110449219,6113.153381,0.915808856,0.505377978,-0.005014931,780,2792.811279,0.2,0.007929897,-14.6168225
3007,54,80,163840,-344.55827,24,0.0003,0.094482422,5054.591948,0.915049553,0.55711934,-0.005595531,790,2427.437988,0.2,0.011282621,-14.60857406
3045,54,81,165888,-339.02417,24,0.0003,0.113720703,4485.374891,0.913057685,0.612458766,-0.004890619,800,2671.62207,0.2,0.009001596,-14.59254587
3084,54,82,167936,-342.92748,24,0.0003,0.117431641,4281.030234,0.913077116,0.624751151,-0.005374552,810,2267.583008,0.2,0.011653398,-14.57872612
