time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss
156,24,154,-2005.9609300000002,3744,24.0,4922.689453125,3643,-2.248684883117676,1.6750832796096802,0.0003,1010419.625
160,24,158,-1997.1194,3840,24.0,4516.6845703125,3739,-2.275507926940918,1.6822654008865356,0.0003,1760505.25
164,24,163,-2006.3335699999998,3936,24.0,5000.07080078125,3835,-3.09736967086792,1.6900094747543335,0.0003,1380606.375
168,24,167,-1974.9180000000006,4032,24.0,4876.91162109375,3931,-2.9116387367248535,1.698014497756958,0.0003,1291362.25
172,24,171,-1929.95317,4128,24.0,4569.56787109375,4027,-2.2420287132263184,1.7062764167785645,0.0003,2433919.0
176,24,175,-1815.16431,4224,24.0,4893.92578125,4123,-2.258389711380005,1.7148396968841553,0.0003,1002075.875
180,24,179,-1740.9643700000001,4320,24.0,4178.94873046875,4219,-1.7412102222442627,1.7235071659088135,0.0003,829963.625
184,24,183,-1698.52099,4416,24.0,4087.2626953125,4315,-2.396738290786743,1.7327245473861694,0.0003,516913.1875
188,24,187,-1666.89726,4512,24.0,4270.19677734375,4411,-2.4937002658843994,1.7421133518218994,0.0003,3061181.25
192,24,191,-1619.6315500000005,4608,24.0,4983.7080078125,4507,-2.2464163303375244,1.7520231008529663,0.0003,633042.375
196,23,196,-1572.7123100000003,4704,24.0,4141.66162109375,4603,-2.861912488937378,1.7619996070861816,0.0003,1917448.875
200,23,201,-1554.11839,4800,24.0,4168.5224609375,4699,-2.6580910682678223,1.7723100185394287,0.0003,3051037.0
204,23,205,-1535.79785,4896,24.0,2971.60009765625,4795,-1.292205810546875,1.7822318077087402,0.0003,706940.0
208,23,210,-1539.9851,4992,24.0,3088.38623046875,4891,-1.8631725311279297,1.792270541191101,0.0003,2225228.5
212,23,214,-1526.49914,5088,24.0,3835.263671875,4987,-2.6730828285217285,1.8024611473083496,0.0003,1441334.0
216,23,218,-1520.2705200000003,5184,24.0,2815.685302734375,5083,-2.1677489280700684,1.813191533088684,0.0003,1462316.625
220,23,222,-1536.9740900000002,5280,24.0,4315.09033203125,5179,-2.1807000637054443,1.8235969543457031,0.0003,4674958.0
224,23,226,-1556.6622399999999,5376,24.0,3175.737060546875,5275,-2.0850892066955566,1.834194540977478,0.0003,444381.3125
228,23,230,-1559.58339,5472,24.0,3761.512939453125,5371,-2.5574796199798584,1.8443753719329834,0.0003,720658.0
232,23,234,-1588.5880000000004,5568,24.0,2935.73681640625,5467,-2.1019656658172607,1.8551454544067383,0.0003,394735.8125
236,23,238,-1605.73796,5664,24.0,3141.257080078125,5563,-1.4974552392959595,1.8658897876739502,0.0003,2178467.75
240,23,243,-1612.9866599999996,5760,24.0,3311.955322265625,5659,-1.6485023498535156,1.8759781122207642,0.0003,2894015.25
244,23,246,-1630.2500100000002,5856,24.0,2813.353759765625,5755,-1.7461307048797607,1.8861156702041626,0.0003,438984.9375
248,23,251,-1641.8367599999997,5952,24.0,2623.73583984375,5851,-1.1158578395843506,1.8970147371292114,0.0003,1014976.0
252,23,255,-1667.8514599999999,6048,24.0,3248.08447265625,5947,-1.7754669189453125,1.9076275825500488,0.0003,643287.375
256,23,259,-1678.01105,6144,24.0,3187.697998046875,6043,-1.2411346435546875,1.917404055595398,0.0003,1388870.75
260,23,263,-1707.6173099999996,6240,24.0,2534.473876953125,6139,-1.564001441001892,1.9269769191741943,0.0003,552231.0
264,23,268,-1729.8133899999996,6336,24.0,2730.665283203125,6235,-0.7688111662864685,1.935880422592163,0.0003,1569041.0
268,23,272,-1739.94521,6432,24.0,2664.45166015625,6331,-1.1812951564788818,1.943946361541748,0.0003,1845192.0
272,23,276,-1776.7343799999999,6528,24.0,3007.277587890625,6427,-0.834266185760498,1.9524178504943848,0.0003,1170038.875
276,23,280,-1814.40282,6624,24.0,2304.961669921875,6523,-0.44777464866638184,1.9603605270385742,0.0003,3413303.5
280,23,284,-1846.0557199999998,6720,24.0,2851.81591796875,6619,-0.6824262738227844,1.9677654504776,0.0003,568739.125
284,23,288,-1884.2313800000002,6816,24.0,2534.980712890625,6715,-0.7690183520317078,1.9736285209655762,0.0003,2767378.25
288,23,292,-1921.6079700000003,6912,24.0,2243.31884765625,6811,-0.9350622892379761,1.9788216352462769,0.0003,2608519.5
292,23,296,-1947.11951,7008,24.0,2286.87841796875,6907,-1.1902025938034058,1.9830176830291748,0.0003,1223924.375
296,23,300,-1978.4903599999996,7104,24.0,2234.14990234375,7003,-0.2658267617225647,1.9865920543670654,0.0003,1026498.3125
300,23,305,-2009.0517800000002,7200,24.0,2357.050048828125,7099,0.690826416015625,1.9893980026245117,0.0003,184449.28125
304,23,309,-2030.8024300000002,7296,24.0,2217.69921875,7195,-0.04872971773147583,1.9916296005249023,0.0003,3319108.0
308,23,313,-2050.7447,7392,24.0,2095.10009765625,7291,-0.47098100185394287,1.9925025701522827,0.0003,3944702.75
312,23,317,-2084.49916,7488,24.0,2636.403564453125,7387,0.2504189908504486,1.992401361465454,0.0003,2082043.75
316,23,321,-2109.4501999999998,7584,24.0,1936.3426513671875,7483,-0.1690620332956314,1.9919763803482056,0.0003,3684895.5
320,23,325,-2126.45959,7680,24.0,2219.11865234375,7579,0.5547825694084167,1.9905849695205688,0.0003,1112000.875
324,23,329,-2137.94164,7776,24.0,1842.15380859375,7675,0.0008866339921951294,1.987841010093689,0.0003,193058.453125
328,23,333,-2156.4530199999995,7872,24.0,1697.543701171875,7771,0.7867154479026794,1.9852454662322998,0.0003,1020943.25
332,23,337,-2176.17774,7968,24.0,2244.53564453125,7867,-0.36393505334854126,1.9793086051940918,0.0003,1361207.5
336,23,342,-2199.59062,8064,24.0,2037.185791015625,7963,1.0279302597045898,1.9735149145126343,0.0003,964069.625
340,23,346,-2221.3708799999995,8160,24.0,1153.635986328125,8059,0.8530822992324829,1.9655884504318237,0.0003,2285158.0
344,23,350,-2252.90243,8256,24.0,1986.50244140625,8155,-0.05805743858218193,1.9578019380569458,0.0003,963191.875
348,23,354,-2278.0521099999996,8352,24.0,1677.46435546875,8251,0.7745569348335266,1.9473085403442383,0.0003,1517737.0
352,23,358,-2300.59856,8448,24.0,2345.3984375,8347,0.09631812572479248,1.9368847608566284,0.0003,460510.3125
356,23,362,-2336.34122,8544,24.0,2003.95166015625,8443,0.16663241386413574,1.9283194541931152,0.0003,153666.421875
360,23,366,-2339.5101600000003,8640,24.0,2408.987548828125,8539,0.9616823196411133,1.919323205947876,0.0003,601602.25
364,23,371,-2359.68047,8736,24.0,1640.23193359375,8635,0.6526296138763428,1.9073383808135986,0.0003,703302.5
368,23,375,-2396.6917000000003,8832,24.0,1844.624267578125,8731,0.431515634059906,1.8953269720077515,0.0003,187193.125
372,23,379,-2425.30885,8928,24.0,2405.735595703125,8827,0.535264790058136,1.8821405172348022,0.0003,146542.78125
376,23,383,-2450.27354,9024,24.0,2432.71484375,8923,1.008338451385498,1.8681995868682861,0.0003,1319122.25
380,23,387,-2464.01045,9120,24.0,1850.2001953125,9019,-0.2906535863876343,1.8546582460403442,0.0003,1297401.375
384,23,391,-2475.7215,9216,24.0,1510.6641845703125,9115,0.9443589448928833,1.841267704963684,0.0003,122833.7265625
388,23,395,-2479.39237,9312,24.0,1770.6610107421875,9211,0.27876749634742737,1.8282254934310913,0.0003,838165.5625
392,23,400,-2505.88968,9408,24.0,2190.70654296875,9307,0.04818281531333923,1.8142982721328735,0.0003,726426.875
396,23,403,-2509.3358900000003,9504,24.0,2049.520263671875,9403,0.8818494081497192,1.8029688596725464,0.0003,824930.75
400,23,407,-2521.136,9600,24.0,2311.826171875,9499,0.49346545338630676,1.7875193357467651,0.0003,250612.1875
404,23,411,-2537.7434999999996,9696,24.0,1924.490966796875,9595,0.6752385497093201,1.7768396139144897,0.0003,1695133.875
408,23,415,-2546.91738,9792,24.0,1800.38427734375,9691,-0.6565628051757812,1.7665208578109741,0.0003,440016.0
412,23,419,-2539.87652,9888,24.0,1493.516845703125,9787,0.44179707765579224,1.753984808921814,0.0003,98597.015625
416,23,423,-2537.10991,9984,24.0,1911.9869384765625,9883,0.7408977150917053,1.7445048093795776,0.0003,623442.625
420,23,427,-2531.9174999999996,10080,24.0,2027.0972900390625,9979,0.1326381415128708,1.7329219579696655,0.0003,257509.15625
424,23,431,-2528.8768,10176,24.0,1686.50048828125,10075,-0.13659948110580444,1.7235387563705444,0.0003,107959.28125
428,23,436,-2544.47876,10272,24.0,1857.7222900390625,10171,0.701135516166687,1.7092890739440918,0.0003,370386.9375
432,23,440,-2547.60176,10368,24.0,2245.725341796875,10267,0.458528071641922,1.6917318105697632,0.0003,122020.8125
436,23,444,-2556.0721,10464,24.0,1720.339111328125,10363,0.22763296961784363,1.6764963865280151,0.0003,139192.90625
440,23,448,-2562.69921,10560,24.0,2010.903564453125,10459,-0.5124132037162781,1.6547799110412598,0.0003,222283.34375
444,23,452,-2554.2762300000004,10656,24.0,1707.2646484375,10555,-0.3065681457519531,1.643286108970642,0.0003,1393721.25
448,23,456,-2548.3044000000004,10752,24.0,2138.552734375,10651,0.0911935567855835,1.6362253427505493,0.0003,189493.65625
452,23,460,-2550.9206799999997,10848,24.0,1738.06396484375,10747,-0.2981087565422058,1.625173568725586,0.0003,260792.9375
456,23,464,-2538.79508,10944,24.0,1750.8231201171875,10843,0.6677908301353455,1.6213669776916504,0.0003,116107.1328125
460,23,467,-2557.20771,11040,24.0,1919.3756103515625,10939,0.28620588779449463,1.6118056774139404,0.0003,66433.078125
464,23,472,-2560.80258,11136,24.0,2040.2767333984375,11035,0.45067909359931946,1.6080344915390015,0.0003,281915.9375
468,23,476,-2541.8199000000004,11232,24.0,1888.294921875,11131,0.33841150999069214,1.6040600538253784,0.0003,60582.7109375
472,23,480,-2517.53059,11328,24.0,1749.165283203125,11227,0.5858660936355591,1.5955018997192383,0.0003,53040.2109375
476,23,484,-2517.90417,11424,24.0,1768.705810546875,11323,0.25481781363487244,1.5922147035598755,0.0003,780904.625
480,23,488,-2519.7993500000002,11520,24.0,1699.34814453125,11419,-0.1748095452785492,1.5912926197052002,0.0003,2165481.25
484,23,492,-2524.1346999999996,11616,24.0,2033.9293212890625,11515,0.16444602608680725,1.580693244934082,0.0003,1506964.25
488,23,496,-2534.7872099999995,11712,24.0,2000.4752197265625,11611,0.23483434319496155,1.5665186643600464,0.0003,62628.453125
492,23,500,-2520.09969,11808,24.0,1689.1220703125,11707,0.0491362065076828,1.5571389198303223,0.0003,429400.6875
496,23,504,-2523.31986,11904,24.0,1753.3912353515625,11803,-0.07937365770339966,1.5527129173278809,0.0003,46498.2109375
500,23,508,-2513.7239499999996,12000,24.0,1624.1761474609375,11899,-0.17398202419281006,1.5458648204803467,0.0003,504922.5
504,23,512,-2519.94119,12096,24.0,1422.425048828125,11995,0.09035560488700867,1.5357065200805664,0.0003,868712.8125
508,23,516,-2510.50708,12192,24.0,1615.4027099609375,12091,-0.004035532474517822,1.5315214395523071,0.0003,964193.875
512,23,520,-2520.5041200000005,12288,24.0,1581.4481201171875,12187,0.36956650018692017,1.5241618156433105,0.0003,41766.66015625
516,23,524,-2530.16741,12384,24.0,1456.2406005859375,12283,-0.04451605677604675,1.5180301666259766,0.0003,540116.8125
520,23,528,-2547.5513899999996,12480,24.0,1490.989501953125,12379,0.48528894782066345,1.5160876512527466,0.0003,55056.8671875
524,23,532,-2552.51419,12576,24.0,1731.087158203125,12475,0.5395134687423706,1.503151535987854,0.0003,58792.203125
528,23,536,-2552.94013,12672,24.0,1478.27978515625,12571,0.01158776506781578,1.4914919137954712,0.0003,173520.421875
532,23,540,-2558.96691,12768,24.0,1450.436767578125,12667,0.2080538123846054,1.4832143783569336,0.0003,787011.75
536,23,544,-2558.09228,12864,24.0,1398.8226318359375,12763,0.16750182211399078,1.471291422843933,0.0003,52197.34375
540,23,549,-2558.18014,12960,24.0,1489.029052734375,12859,0.05899548530578613,1.464922547340393,0.0003,759981.5
544,23,553,-2560.08909,13056,24.0,1565.454345703125,12955,-0.05780256539583206,1.4594165086746216,0.0003,1284271.25
548,23,557,-2559.45622,13152,24.0,1754.5091552734375,13051,-0.7594196796417236,1.4583812952041626,0.0003,567719.375
