time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/is_line_search_success,train/learning_rate,train/explained_variance,train/policy_objective,train/value_loss,train/n_updates,train/kl_divergence_loss,train/std
657,24.0,17,52,-499.6589199999999,34816,1.0,0.001,0.0,0.04132022708654404,37825.215368652345,16,0.007205274887382984,1.0779180526733398
697,24.0,18,52,-498.4182,36864,1.0,0.001,0.0,0.04285409301519394,34599.707043457034,17,0.00755427498370409,1.0793038606643677
737,24.0,19,52,-489.92307999999997,38912,1.0,0.001,0.0,0.03941377252340317,33457.19010009766,18,0.006772167980670929,1.0583285093307495
776,24.0,20,52,-483.82849999999996,40960,1.0,0.001,0.0,0.04392370954155922,30914.12042236328,19,0.007024821359664202,1.0575339794158936
816,24.0,21,52,-467.87291999999997,43008,1.0,0.001,5.960464477539063e-08,0.046116724610328674,28964.14161376953,20,0.00794540997594595,1.0615735054016113
856,24.0,22,52,-461.94829999999996,45056,1.0,0.001,-1.1920928955078125e-07,0.04422364383935928,25489.337316894533,21,0.007478826213628054,1.049092173576355
896,24.0,23,52,-458.48606,47104,1.0,0.001,-1.1920928955078125e-07,0.0448991060256958,24500.932067871094,22,0.007722922135144472,1.0847489833831787
936,24.0,24,52,-454.32476,49152,1.0,0.001,0.0,0.04878072068095207,23234.662841796875,23,0.008180204778909683,1.0828593969345093
976,24.0,25,52,-437.59822999999994,51200,1.0,0.001,0.0,0.042895153164863586,22105.479541015626,24,0.008196310140192509,1.09315025806427
1016,24.0,26,52,-440.25179999999995,53248,1.0,0.001,0.0,0.03665761277079582,19245.821911621093,25,0.006985318381339312,1.0634089708328247
1055,24.0,27,52,-446.1029500000001,55296,1.0,0.001,0.0,0.052346087992191315,19389.750231933594,26,0.007748738396912813,1.0562708377838135
1095,24.0,28,52,-429.42810999999995,57344,1.0,0.001,0.0,0.0605011023581028,19594.904718017577,27,0.0077330200001597404,1.0692312717437744
1133,24.0,29,52,-414.69031,59392,1.0,0.001,-1.1920928955078125e-07,0.0386652871966362,17254.74186401367,28,0.007071310188621283,1.0826359987258911
1171,24.0,30,52,-400.83529999999996,61440,1.0,0.001,0.0,0.05787843093276024,15709.526580810547,29,0.006960764992982149,1.1087790727615356
1211,24.0,31,52,-395.40280999999993,63488,1.0,0.001,0.0,0.05117785930633545,14293.096948242188,30,0.007281111087650061,1.0939570665359497
1250,24.0,32,52,-380.4435899999999,65536,1.0,0.001,0.0,0.05827675014734268,13980.073504638673,31,0.0074106501415371895,1.0814933776855469
1289,24.0,33,52,-362.17772000000014,67584,1.0,0.001,5.960464477539063e-08,0.0811215415596962,12845.194775390624,32,0.007245026994496584,1.0678837299346924
1329,24.0,34,52,-357.1984,69632,1.0,0.001,1.430511474609375e-06,0.05090051516890526,11767.814288330079,33,0.0066119893454015255,1.0905853509902954
1368,24.0,35,52,-347.54631000000006,71680,1.0,0.001,2.384185791015625e-06,0.05649130418896675,11760.193579101562,34,0.007454657927155495,1.080935001373291
1407,24.0,36,52,-337.85256999999996,73728,1.0,0.001,2.7418136596679688e-06,0.0539231114089489,11110.963098144532,35,0.006622157525271177,1.0765538215637207
1446,24.0,37,52,-328.41454,75776,1.0,0.001,3.2782554626464844e-06,0.059915900230407715,10914.11182861328,36,0.006690409500151873,1.0861804485321045
1485,24.0,38,52,-300.55203,77824,1.0,0.001,5.0067901611328125e-06,0.04948025941848755,10185.01180114746,37,0.007154467981308699,1.0806492567062378
1524,24.0,39,52,-290.68834999999996,79872,1.0,0.001,0.09079557657241821,0.057983338832855225,7793.407025146485,38,0.006913766730576754,1.0896844863891602
1563,24.0,40,52,-272.18990999999994,81920,1.0,0.001,0.2765883207321167,0.0526009276509285,5570.7435302734375,39,0.006780056282877922,1.1064043045043945
1603,24.0,41,52,-244.69650000000004,83968,1.0,0.001,0.5518041849136353,0.05600430816411972,3260.701266479492,40,0.007832488976418972,1.1165035963058472
1642,24.0,42,52,-203.80712000000003,86016,1.0,0.001,0.6728187501430511,0.06847510486841202,2276.1529739379885,41,0.00811366830021143,1.1114989519119263
1683,24.0,43,52,-169.69877,88064,1.0,0.001,0.7324941754341125,0.06592625379562378,1691.1989948272706,42,0.007533596362918615,1.1261378526687622
1722,24.0,44,52,-135.46226000000001,90112,1.0,0.001,0.7425498366355896,0.07360811531543732,1258.2745777130126,43,0.008253438398241997,1.1455646753311157
1761,24.0,45,52,-89.28738000000001,92160,1.0,0.001,0.7698860764503479,0.07719793915748596,859.6528244018555,44,0.008421704173088074,1.133575439453125
1800,24.0,46,52,-55.42716999999999,94208,1.0,0.001,0.7912059277296066,0.09242932498455048,631.1544492721557,45,0.008788326755166054,1.1449105739593506
1841,24.0,47,52,-21.077529999999996,96256,1.0,0.001,0.6936970353126526,0.06367405503988266,489.0047523498535,46,0.007957512512803078,1.1347193717956543
1884,24.0,48,52,11.835489999999998,98304,1.0,0.001,0.6931624412536621,0.08102118968963623,519.0845518112183,47,0.007821690291166306,1.1306003332138062
1926,24.0,49,52,49.14207,100352,1.0,0.001,0.6274816691875458,0.07217547297477722,529.7779748916626,48,0.007719491608440876,1.1241399049758911
1969,24.0,50,51,63.13425,102400,1.0,0.001,0.5848092436790466,0.04593246430158615,728.8131534576416,49,0.006117318291217089,1.1174378395080566
2009,24.0,51,51,76.72207,104448,1.0,0.001,0.6186455488204956,0.047718919813632965,723.2715892791748,50,0.008413312025368214,1.1021844148635864
2051,24.0,52,51,88.19292999999999,106496,1.0,0.001,0.6204387545585632,0.08018813282251358,736.2776853561402,51,0.007418591063469648,1.10673189163208
2090,24.0,53,51,92.70819999999999,108544,1.0,0.001,0.6854076981544495,0.05726173147559166,684.3823610305786,52,0.007137580309063196,1.1134556531906128
2133,24.0,54,51,101.42443000000002,110592,1.0,0.001,0.7397110462188721,0.07201116532087326,550.8292552947999,53,0.006421450991183519,1.1370669603347778
2174,24.0,55,51,100.03734000000003,112640,1.0,0.001,0.8339946269989014,0.05998923256993294,439.45213470458987,54,0.006855879444628954,1.1597527265548706
2216,24.0,56,51,102.82484999999998,114688,1.0,0.001,0.8572699725627899,0.06355992704629898,410.4600023269653,55,0.006483796052634716,1.143741250038147
2257,24.0,57,51,110.53953000000001,116736,1.0,0.001,0.8704539984464645,0.07037340104579926,374.74548120498656,56,0.006821248214691877,1.1443421840667725
2297,24.0,58,51,115.92819000000001,118784,1.0,0.001,0.885332778096199,0.06888002157211304,396.08485832214353,57,0.006605382543057203,1.1356379985809326
2338,24.0,59,51,122.92218999999999,120832,1.0,0.001,0.8938264921307564,0.07432291656732559,414.85463733673095,58,0.007699846755713224,1.1446114778518677
2380,24.0,60,51,127.7411,122880,1.0,0.001,0.8841180875897408,0.07300516217947006,505.88315353393557,59,0.007682329509407282,1.1438556909561157
2420,24.0,61,51,135.77304,124928,1.0,0.001,0.8999291807413101,0.058695532381534576,506.94158325195315,60,0.006796364672482014,1.1366817951202393
2460,24.0,62,51,140.59348999999997,126976,1.0,0.001,0.9004930630326271,0.06436198949813843,535.4534021377564,61,0.006626470480114222,1.1290100812911987
2502,24.0,63,51,144.02202,129024,1.0,0.001,0.8974349647760391,0.06387733668088913,614.5093891143799,62,0.006344784516841173,1.1503218412399292
2545,24.0,64,51,147.4993,131072,1.0,0.001,0.9062243923544884,0.06205051392316818,584.483476448059,63,0.006626954302191734,1.1398099660873413
2586,24.0,65,51,153.32698,133120,1.0,0.001,0.9071077927947044,0.057258326560258865,570.5478979110718,64,0.006620459724217653,1.1162937879562378
2631,24.0,66,51,160.09269999999998,135168,1.0,0.001,0.9052580446004868,0.058761876076459885,588.8446462631225,65,0.006905796006321907,1.1243805885314941
2670,24.0,67,51,169.01538999999997,137216,1.0,0.001,0.9067181125283241,0.06790488213300705,598.1736330032348,66,0.0067646135576069355,1.12275230884552
2708,24.0,68,51,177.63644,139264,1.0,0.001,0.9091113731265068,0.050530605018138885,617.7673789978028,67,0.007191076409071684,1.1121786832809448
2748,24.0,69,51,183.61206,141312,1.0,0.001,0.9060100764036179,0.07987015694379807,671.812366104126,68,0.007947282865643501,1.1373462677001953
2789,24.0,70,51,192.54465,143360,1.0,0.001,0.910415381193161,0.06836678087711334,724.2466808319092,69,0.007539020851254463,1.1351070404052734
2829,24.0,71,51,196.53481999999997,145408,1.0,0.001,0.9140573069453239,0.0706789493560791,772.2086700439453,70,0.007218671031296253,1.1375746726989746
2871,24.0,72,51,197.70716000000004,147456,1.0,0.001,0.9162583202123642,0.08741405606269836,735.2911445617676,71,0.007341730408370495,1.1534401178359985
2913,24.0,73,51,202.6032500000001,149504,1.0,0.001,0.9145882874727249,0.058299947530031204,791.1053653717041,72,0.006606026086956263,1.1501137018203735
2955,24.0,74,51,203.80064,151552,1.0,0.001,0.9169779196381569,0.07368487119674683,810.0079734802246,73,0.007318142335861921,1.1534897089004517
2993,24.0,75,51,204.71328999999997,153600,1.0,0.001,0.9150519967079163,0.030484678223729134,838.2448749542236,74,0.007756746839731932,1.1606491804122925
3035,24.0,76,51,213.64520000000005,155648,1.0,0.001,0.9178151488304138,0.09744474291801453,830.1316570281982,75,0.006281042471528053,1.1638151407241821
3080,24.0,77,51,214.81669999999997,157696,1.0,0.001,0.9183000922203064,0.056527331471443176,833.0958982467652,76,0.006532952189445496,1.180705189704895
3119,24.0,78,51,222.44699,159744,1.0,0.001,0.915396511554718,0.2302708625793457,831.7784942626953,77,0.006532313302159309,1.1924777030944824
3165,24.0,79,51,229.85503999999997,161792,1.0,0.001,0.9212203845381737,0.06419606506824493,848.009716796875,78,0.007114992942661047,1.1807880401611328
3207,24.0,80,51,232.34110000000004,163840,1.0,0.001,0.9178369790315628,0.05892480909824371,842.8590782165527,79,0.007606725674122572,1.1815671920776367
3250,24.0,81,51,240.1031,165888,1.0,0.001,0.9225034937262535,0.06379655003547668,824.2749176025391,80,0.006969633977860212,1.1743868589401245
3290,24.0,82,51,250.60675,167936,1.0,0.001,0.9243316277861595,0.06586328148841858,791.8619518280029,81,0.007529692258685827,1.1667155027389526
3331,24.0,83,51,253.74454999999998,169984,1.0,0.001,0.9272009432315826,0.06330417096614838,748.3057693481445,82,0.007099958136677742,1.1619981527328491
3373,24.0,84,50,256.17271999999997,172032,1.0,0.001,0.9199859127402306,0.06878593564033508,873.5724891662597,83,0.007310132961720228,1.1545215845108032
3413,24.0,85,50,265.22652999999997,174080,1.0,0.001,0.9281265139579773,0.06488953530788422,835.5847290039062,84,0.007389905862510204,1.1436970233917236
3456,24.0,86,50,270.09255,176128,1.0,0.001,0.9299785494804382,0.07179677486419678,822.7306030273437,85,0.005869467742741108,1.1518155336380005
3500,24.0,87,50,273.34213000000005,178176,1.0,0.001,0.9257721602916718,0.059209853410720825,852.7514919281006,86,0.006780979223549366,1.1511948108673096
3539,24.0,88,50,281.29055,180224,1.0,0.001,0.9307491853833199,0.08262496441602707,863.691157913208,87,0.007666855584830046,1.1719671487808228
3579,24.0,89,50,287.97948,182272,1.0,0.001,0.9277824088931084,0.05008063092827797,862.7148426055908,88,0.007334755267947912,1.180155873298645
3622,24.0,90,50,295.566,184320,1.0,0.001,0.923982247710228,0.05182188004255295,830.5919013977051,89,0.0071868072263896465,1.186413288116455
3665,24.0,91,50,303.66531,186368,1.0,0.001,0.9246027618646622,0.059638313949108124,843.3942047119141,90,0.007813846692442894,1.182064175605774
3703,24.0,92,50,308.9577,188416,1.0,0.001,0.9300346449017525,0.059355925768613815,814.1503494262695,91,0.007891852408647537,1.1855546236038208
3745,24.0,93,50,317.0614800000001,190464,1.0,0.001,0.9308900833129883,0.08031665533781052,817.0471715927124,92,0.007479347754269838,1.1918238401412964
