train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/step_size,train/iterations,rollout/return_std,time/total_timesteps,time/fps,train/delta_std,time/time_elapsed
0.02,633.463375,24.0,0.0009356916416436434,206,2.6718201637268066,79488,54,0.05,1466
0.02,632.4175625,24.0,0.0005240114405751228,207,4.770888328552246,79872,54,0.05,1473
0.02,631.9575625,24.0,0.00038927432615309954,208,6.422206401824951,80256,54,0.05,1480
0.02,631.8454375000001,24.0,0.0003237799974158406,209,7.721292495727539,80640,54,0.05,1487
0.02,630.8146875,24.0,0.0002947660395875573,210,8.481302261352539,81024,54,0.05,1494
0.02,633.902625,24.0,0.0009474409744143486,211,2.638686418533325,81408,54,0.05,1501
0.02,506.5068749999999,24.0,7.119853307813173e-06,212,351.1308288574219,81792,54,0.05,1509
0.02,634.3765,24.0,0.0010924349771812558,213,2.2884654998779297,82176,54,0.05,1516
0.02,569.9588125,24.0,1.0333146747143473e-05,214,241.93984985351562,82560,54,0.05,1522
0.02,630.1692499999999,24.0,0.0002772220759652555,215,9.018040657043457,82944,54,0.05,1529
0.02,576.976125,24.0,1.1255035133217461e-05,216,222.122802734375,83328,54,0.05,1537
0.02,630.3501875,24.0,0.0002941470011137426,217,8.499151229858398,83712,54,0.05,1544
0.02,633.1796875,24.0,0.0008487600134685636,218,2.9454731941223145,84096,54,0.05,1551
0.02,632.4021875000001,24.0,0.000488527468405664,219,5.117419242858887,84480,54,0.05,1558
0.02,631.7764999999999,24.0,0.00025902368361130357,220,9.651626586914062,84864,54,0.05,1565
0.02,632.61075,24.0,0.0005384003161452711,221,4.64338493347168,85248,54,0.05,1572
0.02,633.6140625,24.0,0.0010648076422512531,222,2.347841501235962,85632,54,0.05,1579
0.02,628.39125,24.0,0.0002378584904363379,223,10.51045036315918,86016,54,0.05,1587
0.02,586.5332500000001,24.0,1.3589395166491158e-05,224,183.96697998046875,86400,54,0.05,1594
0.02,580.0683124999999,24.0,1.1550391718628816e-05,225,216.44287109375,86784,54,0.05,1601
0.02,630.4671874999999,24.0,0.00030926853651180863,226,8.083589553833008,87168,54,0.05,1608
0.02,588.8204375,24.0,1.416713075741427e-05,227,176.4647979736328,87552,54,0.05,1615
0.02,630.715,24.0,0.0003039893927052617,228,8.223971366882324,87936,54,0.05,1622
0.02,633.2676875,24.0,0.0009493821416981518,229,2.633291244506836,88320,54,0.05,1629
0.02,629.753125,24.0,0.0003138221218250692,230,7.9662957191467285,88704,54,0.05,1636
0.02,632.84925,24.0,0.000568604504223913,231,4.396728992462158,89088,54,0.05,1643
0.02,605.5159375000001,24.0,2.4271941583720036e-05,232,102.99958038330078,89472,54,0.05,1651
0.02,634.01125,24.0,0.0017336639575660229,233,1.4420324563980103,89856,54,0.05,1658
0.02,631.57975,24.0,0.0003599918563850224,234,6.944601535797119,90240,54,0.05,1665
0.02,633.9159999999999,24.0,0.0007262713043019176,235,3.442239284515381,90624,54,0.05,1672
0.02,634.2425625000001,24.0,0.0013330456567928195,236,1.8754045963287354,91008,54,0.05,1679
0.02,632.4227500000001,24.0,0.000378577591618523,237,6.603665828704834,91392,54,0.05,1686
0.02,632.6735,24.0,0.0007087679696269333,238,3.5272469520568848,91776,54,0.05,1693
0.02,619.019125,24.0,4.012377394246869e-05,239,62.30719757080078,92160,54,0.05,1700
0.02,635.432625,24.0,0.0023884433321654797,240,1.0467066764831543,92544,54,0.05,1707
0.02,635.573125,24.0,0.0017481835093349218,241,1.4300557374954224,92928,54,0.05,1714
0.02,552.6865625,24.0,7.658246431674343e-06,242,326.4454650878906,93312,54,0.05,1721
0.02,633.031875,24.0,0.00047351530520245433,243,5.279660224914551,93696,54,0.05,1728
0.02,609.461375,24.0,2.638291334733367e-05,244,94.75830078125,94080,54,0.05,1735
