rollout/ep_rew_mean,train/std,train/value_loss,time/time_elapsed,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/entropy_loss,time/iterations,time/fps,train/policy_loss,train/explained_variance,train/learning_rate
-529.4848,1.0044656991958618,8525.732421875,7,500,99,24.0,-15.660476684570312,100,71,-1528.4169921875,-1.1920928955078125e-07,0.0007
-525.4930487804879,1.0079262256622314,5971.4345703125,13,1000,199,24.0,-15.690693855285645,200,71,-1050.64111328125,-2.384185791015625e-07,0.0007
-527.6689677419356,1.0052181482315063,564.3798828125,20,1500,299,24.0,-15.663871765136719,300,72,-262.56353759765625,0.3002529740333557,0.0007
-535.9213975903615,1.0067763328552246,2966.796630859375,27,2000,399,24.0,-15.678738594055176,400,71,118.0967788696289,0.14946138858795166,0.0007
-544.5320899999999,1.0094823837280273,23213.8984375,35,2500,499,24.0,-15.714651107788086,500,71,-2465.519287109375,-2.384185791015625e-07,0.0007
-555.5225200000001,1.0140773057937622,19490.27734375,42,3000,599,24.0,-15.760770797729492,600,71,-2013.277587890625,0.0,0.0007
-567.3350100000001,1.0198076963424683,12666.5537109375,50,3500,699,24.0,-15.825050354003906,700,69,-1795.8896484375,0.0,0.0007
-578.71325,1.0224295854568481,6359.5458984375,59,4000,799,24.0,-15.849813461303711,800,67,-1142.8955078125,0.0,0.0007
-583.43749,1.0248512029647827,569.341552734375,68,4500,899,24.0,-15.875959396362305,900,65,-341.70111083984375,0.6613800823688507,0.0007
-586.76403,1.0289626121520996,1226.09375,77,5000,999,24.0,-15.919931411743164,1000,64,-49.8716926574707,0.5119656324386597,0.0007
-589.2002,1.0293738842010498,24701.306640625,86,5500,1099,24.0,-15.925912857055664,1100,63,-2445.01123046875,0.0,0.0007
-591.1291,1.0290632247924805,19077.291015625,95,6000,1199,24.0,-15.9225492477417,1200,62,-2171.472412109375,-1.1920928955078125e-07,0.0007
-592.08272,1.033573031425476,12308.6982421875,104,6500,1299,24.0,-15.965242385864258,1300,61,-1487.9564208984375,-2.0265579223632812e-06,0.0007
-593.03669,1.0368573665618896,6576.52099609375,114,7000,1399,24.0,-15.998147964477539,1400,61,-1049.123291015625,0.0,0.0007
-594.83794,1.0431208610534668,667.4380493164062,123,7500,1499,24.0,-16.069969177246094,1500,60,-411.4496154785156,0.8301247209310532,0.0007
-596.4921499999999,1.0454809665679932,535.4983520507812,132,8000,1599,24.0,-16.09423828125,1600,60,125.01072692871094,0.6942399144172668,0.0007
-598.69777,1.0471022129058838,25710.64453125,142,8500,1699,24.0,-16.111440658569336,1700,59,-2376.2685546875,0.0,0.0007
-599.29412,1.052370309829712,18802.27734375,152,9000,1799,24.0,-16.16383934020996,1800,59,-1908.8538818359375,0.0,0.0007
-600.11148,1.0547219514846802,12305.3095703125,161,9500,1899,24.0,-16.1912899017334,1900,58,-1684.12890625,1.1920928955078125e-07,0.0007
-599.5646899999999,1.0567854642868042,6347.92041015625,171,10000,1999,24.0,-16.209569931030273,2000,58,-1141.5810546875,-2.384185791015625e-07,0.0007
-599.9307299999999,1.0578336715698242,935.1168212890625,181,10500,2099,24.0,-16.221778869628906,2100,57,-441.4178161621094,0.7391894161701202,0.0007
-599.98288,1.0631667375564575,505.6803283691406,191,11000,2199,24.0,-16.27754783630371,2200,57,164.55731201171875,0.6499745547771454,0.0007
-599.8992900000001,1.064017653465271,24974.05859375,200,11500,2299,24.0,-16.28478240966797,2300,57,-2277.77001953125,0.0,0.0007
-599.5363299999999,1.0662460327148438,18100.62109375,210,12000,2399,24.0,-16.310895919799805,2400,56,-2207.47412109375,0.0,0.0007
-600.06223,1.0679757595062256,12199.1865234375,220,12500,2499,24.0,-16.323102951049805,2500,56,-1596.6041259765625,-1.1920928955078125e-07,0.0007
-599.08503,1.0736873149871826,6383.138671875,229,13000,2599,24.0,-16.380712509155273,2600,56,-1176.4141845703125,0.0,0.0007
-597.8383200000001,1.0742053985595703,269.3195495605469,239,13500,2699,24.0,-16.3890380859375,2700,56,-177.54928588867188,0.5413492023944855,0.0007
-593.85889,1.0757297277450562,1202.1580810546875,249,14000,2799,24.0,-16.401430130004883,2800,56,108.18721008300781,-0.786591649055481,0.0007
-583.5064799999999,1.0762922763824463,20434.04296875,259,14500,2899,24.0,-16.404407501220703,2900,55,-2023.8363037109375,-1.1920928955078125e-07,0.0007
-567.7391600000001,1.0828769207000732,13027.533203125,269,15000,2999,24.0,-16.470060348510742,3000,55,-1602.1708984375,0.0,0.0007
-555.5644,1.0840178728103638,10809.8828125,279,15500,3099,24.0,-16.4891357421875,3100,55,-1740.023193359375,0.0,0.0007
-549.9411,1.0872642993927002,5733.99072265625,289,16000,3199,24.0,-16.514291763305664,3200,55,-1077.387451171875,0.0,0.0007
-546.15572,1.0867332220077515,322.59063720703125,299,16500,3299,24.0,-16.512985229492188,3300,55,-247.72012329101562,0.6303575038909912,0.0007
-548.31564,1.086429476737976,2271.31201171875,310,17000,3399,24.0,-16.50812339782715,3400,54,173.2971954345703,-2.390766143798828,0.0007
-553.72076,1.0891231298446655,21456.353515625,320,17500,3499,24.0,-16.533451080322266,3500,54,-2128.2734375,0.0,0.0007
-558.6304299999999,1.0878727436065674,17003.234375,330,18000,3599,24.0,-16.52122688293457,3600,54,-1891.0068359375,0.0,0.0007
-559.6651400000001,1.0868927240371704,9608.876953125,340,18500,3699,24.0,-16.513004302978516,3700,54,-1507.494140625,0.0,0.0007
-558.90819,1.0869475603103638,5380.0986328125,350,19000,3799,24.0,-16.50725555419922,3800,54,-1015.3982543945312,0.0,0.0007
-552.9624899999999,1.0906046628952026,321.27911376953125,360,19500,3899,24.0,-16.547744750976562,3900,54,-223.56674194335938,0.6832041144371033,0.0007
-547.3796799999999,1.0908995866775513,3457.93603515625,370,20000,3999,24.0,-16.553300857543945,4000,53,533.9076538085938,-1.6678202152252197,0.0007
-529.60863,1.0917818546295166,17968.45703125,380,20500,4099,24.0,-16.560216903686523,4100,53,-1958.7144775390625,0.0,0.0007
-511.6376700000001,1.091715931892395,15407.244140625,390,21000,4199,24.0,-16.55813217163086,4200,53,-1823.6728515625,-1.1920928955078125e-07,0.0007
-489.38337,1.092772126197815,5304.404296875,400,21500,4299,24.0,-16.57052230834961,4300,53,-1183.7425537109375,0.0,0.0007
-458.9495300000001,1.0953788757324219,2690.630126953125,410,22000,4399,24.0,-16.592885971069336,4400,53,-786.353515625,0.0,0.0007
-421.89639999999997,1.0973013639450073,124.55374908447266,420,22500,4499,24.0,-16.61237335205078,4500,53,128.24765014648438,0.8655581325292587,0.0007
-393.5808300000001,1.0986140966415405,6796.265625,430,23000,4599,24.0,-16.625263214111328,4600,53,846.4703369140625,-1.8678183555603027,0.0007
-358.88484000000005,1.1024165153503418,10486.990234375,440,23500,4699,24.0,-16.661714553833008,4700,53,-1509.634521484375,0.0,0.0007
-335.88071,1.1047290563583374,6535.96875,449,24000,4799,24.0,-16.689647674560547,4800,53,-1384.52978515625,0.0,0.0007
-314.01201000000003,1.1087920665740967,3289.241455078125,460,24500,4899,24.0,-16.720294952392578,4900,53,-782.1348876953125,0.0,0.0007
-302.95611,1.1126097440719604,1236.039306640625,469,25000,4999,24.0,-16.76399803161621,5000,53,-541.7650146484375,0.0,0.0007
-292.13266000000004,1.1133008003234863,82.46739196777344,479,25500,5099,24.0,-16.774044036865234,5100,53,-115.37654113769531,0.9238245561718941,0.0007
-279.72625,1.119594931602478,9972.625,489,26000,5199,24.0,-16.83710479736328,5200,53,1103.9415283203125,-2.4207096099853516,0.0007
-259.31227,1.1206934452056885,6207.1767578125,499,26500,5299,24.0,-16.850120544433594,5300,53,-1270.084228515625,0.0,0.0007
-232.75089999999997,1.1199088096618652,2017.4267578125,509,27000,5399,24.0,-16.83640480041504,5400,53,-649.2669067382812,0.0,0.0007
-189.52147000000002,1.1235233545303345,162.33572387695312,518,27500,5499,24.0,-16.873394012451172,5500,53,-199.334716796875,0.0,0.0007
-137.54573000000002,1.1280499696731567,29.021831512451172,528,28000,5599,24.0,-16.919452667236328,5600,53,6.4528961181640625,0.16384482383728027,0.0007
-98.83063,1.126499891281128,156.19393920898438,538,28500,5699,24.0,-16.902637481689453,5700,52,107.5355453491211,0.780454233288765,0.0007
-61.19192,1.1273472309112549,13294.236328125,548,29000,5799,24.0,-16.912607192993164,5800,52,1325.89453125,-7.077215194702148,0.0007
-40.1745,1.1273219585418701,3471.618408203125,557,29500,5899,24.0,-16.901321411132812,5900,52,-784.6514892578125,0.0,0.0007
-27.784569999999995,1.1284655332565308,668.4298706054688,567,30000,5999,24.0,-16.916362762451172,6000,52,-395.03497314453125,-9.298324584960938e-06,0.0007
-18.501369999999998,1.1310985088348389,15.708885192871094,576,30500,6099,24.0,-16.94818115234375,6100,52,-51.030670166015625,0.19432228803634644,0.0007
-12.39586,1.1336642503738403,48.548500061035156,586,31000,6199,24.0,-16.970497131347656,6200,52,-20.678285598754883,-1.0387523174285889,0.0007
-15.03254,1.1327509880065918,163.02955627441406,596,31500,6299,24.0,-16.959941864013672,6300,52,-79.81673431396484,0.7588937431573868,0.0007
-12.992720000000002,1.1344817876815796,14043.041015625,605,32000,6399,24.0,-16.975543975830078,6400,52,1660.034423828125,-4.2381768226623535,0.0007
-14.984719999999998,1.1377787590026855,2780.23876953125,615,32500,6499,24.0,-17.000898361206055,6500,52,-785.4812622070312,0.0,0.0007
-11.57103,1.142960548400879,495.4683532714844,624,33000,6599,24.0,-17.04943084716797,6600,52,-337.95263671875,0.0,0.0007
1.4135900000000006,1.1444121599197388,185.4021759033203,634,33500,6699,24.0,-17.063697814941406,6700,52,-192.3169403076172,-1.1745855808258057,0.0007
6.62086,1.142241358757019,658.32080078125,644,34000,6799,24.0,-17.043092727661133,6800,52,-311.264404296875,-10.818668365478516,0.0007
-7.063580000000001,1.1448999643325806,174.02273559570312,653,34500,6899,24.0,-17.0676326751709,6900,52,-27.45087242126465,0.71096271276474,0.0007
-2.3824,1.1485892534255981,16029.625,663,35000,6999,24.0,-17.103246688842773,7000,52,1530.4866943359375,-4.564573287963867,0.0007
7.01981,1.1461505889892578,524.8046875,673,35500,7099,24.0,-17.082401275634766,7100,52,-377.1194763183594,0.0,0.0007
24.98979,1.1427727937698364,502.02386474609375,682,36000,7199,24.0,-17.049699783325195,7200,52,-320.0400695800781,-3.007871150970459,0.0007
50.16313,1.1424940824508667,86.94696044921875,692,36500,7299,24.0,-17.04579734802246,7300,52,-96.71714782714844,0.6060219705104828,0.0007
87.00437,1.1460665464401245,198.4323272705078,702,37000,7399,24.0,-17.07785987854004,7400,52,-68.01744842529297,0.8190905153751373,0.0007
102.50964000000002,1.1420973539352417,1456.211181640625,711,37500,7499,24.0,-17.035959243774414,7500,52,600.0995483398438,0.6109792590141296,0.0007
102.19982000000002,1.1418894529342651,15486.6171875,721,38000,7599,24.0,-17.028087615966797,7600,52,1473.3330078125,-21.10906982421875,0.0007
94.81878999999999,1.147186040878296,2051.17578125,731,38500,7699,24.0,-17.081785202026367,7700,52,-681.5032348632812,0.0,0.0007
79.10227000000002,1.1478830575942993,1070.841064453125,741,39000,7799,24.0,-17.09072494506836,7800,52,-464.4521484375,0.0,0.0007
41.24996000000001,1.1459883451461792,756.7826538085938,750,39500,7899,24.0,-17.07561492919922,7900,52,-485.53924560546875,-0.0036830902099609375,0.0007
6.198549999999998,1.146682620048523,191.63670349121094,760,40000,7999,24.0,-17.08103370666504,8000,52,164.5187225341797,0.4948486089706421,0.0007
-7.857389999999998,1.1447240114212036,391.0729064941406,770,40500,8099,24.0,-17.059886932373047,8100,52,-59.3023796081543,0.3451418876647949,0.0007
-11.188220000000001,1.1427925825119019,17469.84375,780,41000,8199,24.0,-17.04339599609375,8200,52,1309.1937255859375,-16.411216735839844,0.0007
-1.67159,1.141215205192566,1245.161865234375,790,41500,8299,24.0,-17.025123596191406,8300,52,-495.2583923339844,0.0,0.0007
16.417309999999997,1.1401264667510986,1877.7708740234375,801,42000,8399,24.0,-17.019941329956055,8400,52,-700.7410888671875,0.0,0.0007
39.05912,1.1392035484313965,469.1097717285156,810,42500,8499,24.0,-17.009105682373047,8500,52,-337.72125244140625,0.6238741278648376,0.0007
42.12511000000001,1.1401863098144531,218.5226593017578,820,43000,8599,24.0,-17.01749038696289,8600,52,86.35777282714844,0.6917314827442169,0.0007
40.19163,1.1387629508972168,651.969482421875,830,43500,8699,24.0,-17.004024505615234,8700,52,-122.0424575805664,-0.017476320266723633,0.0007
20.991860000000003,1.1426668167114258,15749.0126953125,840,44000,8799,24.0,-17.044721603393555,8800,52,1155.048095703125,-13.499743461608887,0.0007
8.802330000000001,1.142180323600769,3650.15869140625,849,44500,8899,24.0,-17.035659790039062,8900,52,-933.4254150390625,-1.1920928955078125e-07,0.0007
-8.90717,1.1413804292678833,1147.8536376953125,860,45000,8999,24.0,-17.02689552307129,9000,52,-516.5460205078125,0.0,0.0007
-19.14596,1.1421009302139282,555.8267822265625,870,45500,9099,24.0,-17.02461814880371,9100,52,-340.14910888671875,1.9371509552001953e-05,0.0007
-21.119939999999996,1.1399321556091309,573.0463256835938,880,46000,9199,24.0,-17.00933837890625,9200,52,263.073486328125,0.7955149710178375,0.0007
-4.5756,1.1423488855361938,791.1250610351562,890,46500,9299,24.0,-17.032272338867188,9300,52,209.42691040039062,-0.11313140392303467,0.0007
1.20764,1.1428672075271606,19168.1328125,900,47000,9399,24.0,-17.03995132446289,9400,52,962.01806640625,-6.626694202423096,0.0007
0.8105199999999989,1.1471071243286133,4987.8671875,910,47500,9499,24.0,-17.07978057861328,9500,52,-1066.7161865234375,0.0,0.0007
-11.20833,1.1495118141174316,3412.14599609375,920,48000,9599,24.0,-17.104114532470703,9600,52,-924.4129028320312,0.0,0.0007
-29.955719999999996,1.1491671800613403,166.5469970703125,930,48500,9699,24.0,-17.094593048095703,9700,52,-198.23876953125,0.0,0.0007
-49.826679999999996,1.147123098373413,355.86639404296875,940,49000,9799,24.0,-17.081314086914062,9800,52,-140.5446319580078,0.3665117621421814,0.0007
-67.71236,1.1531506776809692,1415.5411376953125,950,49500,9899,24.0,-17.140056610107422,9900,52,-564.1878662109375,0.6101548075675964,0.0007
-86.08936000000001,1.1537162065505981,17666.634765625,961,50000,9999,24.0,-17.143573760986328,10000,52,1449.541015625,-8.224438667297363,0.0007
-102.50716999999999,1.1577693223953247,8157.50537109375,971,50500,10099,24.0,-17.180112838745117,10100,52,-1439.4169921875,0.0,0.0007
-109.67854,1.1552245616912842,3255.059814453125,981,51000,10199,24.0,-17.15958595275879,10200,51,-1062.1263427734375,0.0,0.0007
-103.45261000000002,1.1564078330993652,1115.967041015625,991,51500,10299,24.0,-17.1618595123291,10300,51,-545.3551025390625,3.0994415283203125e-05,0.0007
-98.12078,1.1591835021972656,228.5992431640625,1001,52000,10399,24.0,-17.19096565246582,10400,51,240.848876953125,0.9408624619245529,0.0007
-74.01444000000001,1.1614434719085693,445.1812438964844,1011,52500,10499,24.0,-17.208820343017578,10500,51,-37.386558532714844,0.2653380036354065,0.0007
-39.19891,1.1637295484542847,23253.666015625,1021,53000,10599,24.0,-17.23382568359375,10600,51,1721.258544921875,-11.034725189208984,0.0007
-15.357069999999998,1.1655000448226929,2736.878173828125,1031,53500,10699,24.0,-17.244556427001953,10700,51,-785.1961059570312,1.1920928955078125e-07,0.0007
8.011099999999999,1.1651885509490967,1643.820556640625,1041,54000,10799,24.0,-17.245458602905273,10800,51,-640.0919799804688,0.0,0.0007
36.66297,1.164164423942566,432.35693359375,1051,54500,10899,24.0,-17.23426628112793,10900,51,34.98241424560547,0.027508676052093506,0.0007
56.598279999999995,1.1696738004684448,882.4913940429688,1061,55000,10999,24.0,-17.283971786499023,11000,51,321.61871337890625,0.5680508017539978,0.0007
68.31779999999999,1.1711770296096802,391.04608154296875,1071,55500,11099,24.0,-17.295345306396484,11100,51,-111.1073226928711,0.42045509815216064,0.0007
74.89883,1.1688679456710815,27162.953125,1081,56000,11199,24.0,-17.270517349243164,11200,51,1283.324951171875,-8.15048885345459,0.0007
65.68763,1.1693885326385498,3412.788330078125,1091,56500,11299,24.0,-17.272058486938477,11300,51,-885.9358520507812,0.0,0.0007
47.06703999999999,1.1714227199554443,1514.5955810546875,1101,57000,11399,24.0,-17.293272018432617,11400,51,-607.7666015625,-1.1920928955078125e-07,0.0007
34.28505,1.168747067451477,706.9148559570312,1111,57500,11499,24.0,-17.266109466552734,11500,51,-423.58489990234375,-0.2636244297027588,0.0007
21.86433,1.1700531244277954,450.62750244140625,1120,58000,11599,24.0,-17.274662017822266,11600,51,-60.177154541015625,0.3695873022079468,0.0007
17.190619999999996,1.168708086013794,614.1312255859375,1131,58500,11699,24.0,-17.262910842895508,11700,51,351.64410400390625,0.6676324009895325,0.0007
21.329679999999993,1.164937973022461,25217.951171875,1140,59000,11799,24.0,-17.22975730895996,11800,51,1169.4085693359375,-4.4053635597229,0.0007
24.14428,1.1676338911056519,2896.23486328125,1151,59500,11899,24.0,-17.249324798583984,11900,51,-795.1971435546875,6.854534149169922e-06,0.0007
27.023499999999995,1.170514702796936,887.9920043945312,1160,60000,11999,24.0,-17.272844314575195,12000,51,-405.2391357421875,0.0,0.0007
29.1122,1.1710186004638672,155.97946166992188,1170,60500,12099,24.0,-17.287405014038086,12100,51,-189.58212280273438,0.5380924940109253,0.0007
28.591820000000006,1.1693164110183716,362.58050537109375,1181,61000,12199,24.0,-17.271583557128906,12200,51,230.737060546875,0.7775652557611465,0.0007
