time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/is_line_search_success,train/kl_divergence_loss,train/learning_rate,train/policy_objective,train/explained_variance,train/n_updates,train/std,train/value_loss
215040,24.0,471.23774000000003,105,3969,54,1.0,0.00970595795661211,0.001,0.06161553040146828,0.9842882622033358,104,1.0922414064407349,284.09921236038207
217088,24.0,474.18778000000003,106,4006,54,1.0,0.008969574235379696,0.001,0.055751733481884,0.9837342463433743,105,1.096387267112732,261.93823499679564
219136,24.0,479.71332,107,4044,54,1.0,0.009187677875161171,0.001,0.05818137153983116,0.9846522659063339,106,1.0944184064865112,281.38322315216067
221184,24.0,485.4108000000001,108,4081,54,1.0,0.008470508269965649,0.001,0.07364772260189056,0.9852981846779585,107,1.0930668115615845,289.054176902771
223232,24.0,485.3336699999999,109,4119,54,1.0,0.006617540027946234,0.001,0.05126439779996872,0.9843856170773506,108,1.0899463891983032,272.1544337272644
225280,24.0,489.38183,110,4157,54,1.0,0.008509178645908833,0.001,0.05194908007979393,0.9851322015747428,109,1.0890328884124756,284.0889494895935
227328,24.0,496.33732000000003,111,4195,54,1.0,0.008738880977034569,0.001,0.07270020246505737,0.9841761868447065,110,1.0873522758483887,290.8040905952454
229376,24.0,503.2853699999999,112,4233,54,1.0,0.008496341295540333,0.001,0.06514532119035721,0.9847140619531274,111,1.0871564149856567,285.33500452041625
231424,24.0,504.61973,113,4270,54,1.0,0.009089731611311436,0.001,0.07511847466230392,0.9841690361499786,112,1.0879664421081543,298.9598129272461
233472,24.0,510.55929999999995,114,4308,54,1.0,0.007049376145005226,0.001,0.06302616000175476,0.9816517047584057,113,1.0874361991882324,370.8475365638733
235520,24.0,513.66443,115,4346,54,1.0,0.006700680125504732,0.001,0.04455149173736572,0.9846942173317075,114,1.0922938585281372,288.6116233825684
237568,24.0,514.8282,116,4384,54,1.0,0.009083881042897701,0.001,0.06395819783210754,0.9861559122800827,115,1.0914989709854126,274.0650043487549
239616,24.0,521.3938599999999,117,4422,54,1.0,0.009198085404932499,0.001,0.0502820685505867,0.981514360755682,116,1.0899327993392944,292.534774017334
241664,24.0,517.6740799999999,118,4459,54,1.0,0.009346208535134792,0.001,0.07010932266712189,0.9872649386525154,117,1.0870251655578613,246.76703882217407
243712,24.0,522.91385,119,4497,54,1.0,0.008919036947190762,0.001,0.051102131605148315,0.986073425039649,118,1.0876420736312866,286.5451770782471
245760,24.0,531.4731,120,4534,54,1.0,0.008949434384703636,0.001,0.07267322391271591,0.9876233991235495,119,1.0888315439224243,259.87511053085325
247808,24.0,535.3769699999999,121,4572,54,1.0,0.009528213180601597,0.001,0.052536509931087494,0.9865453774109483,120,1.0846539735794067,270.895525932312
249856,24.0,539.5464599999999,122,4609,54,1.0,0.0060256896540522575,0.001,0.058437589555978775,0.984197748824954,121,1.081813097000122,295.775541305542
251904,24.0,545.24516,123,4647,54,1.0,0.007215871941298246,0.001,0.06169216334819794,0.9875548109412193,122,1.0834816694259644,284.0011971473694
253952,24.0,544.5571500000001,124,4684,54,1.0,0.0075738695450127125,0.001,0.03326202929019928,0.9873047806322575,123,1.082699179649353,277.87296800613404
256000,24.0,550.10928,125,4722,54,1.0,0.009785907343029976,0.001,0.0751023143529892,0.9805553462356329,124,1.079534649848938,322.43001756668093
258048,24.0,553.5059100000001,126,4760,54,1.0,0.00876100454479456,0.001,0.06859292089939117,0.985292705707252,125,1.078667163848877,261.5764965057373
260096,24.0,553.1798699999998,127,4797,54,1.0,0.008817549794912338,0.001,0.058463629335165024,0.9884534263983369,126,1.0780688524246216,233.63930616378784
262144,24.0,559.16036,128,4835,54,1.0,0.007933579385280609,0.001,0.05043317377567291,0.988287141546607,127,1.0758624076843262,246.09397068023682
264192,24.0,561.80709,129,4872,54,1.0,0.007881704717874527,0.001,0.06148198992013931,0.9870660221204162,128,1.0755213499069214,252.42593927383422
266240,24.0,562.5667599999999,130,4910,54,1.0,0.006322628352791071,0.001,0.05600685626268387,0.9878225577995181,129,1.0745354890823364,275.64450187683104
268288,24.0,564.7270400000001,131,4948,54,1.0,0.00832588691264391,0.001,0.04435379058122635,0.9875166872516274,130,1.073161244392395,276.76514492034914
